trace	posterior	likelihood	prior	NInfinity	b	t50	tree.height	tree.treeLength	treeLikelihood
mean	-4889.86486446278	-4814.85105314482	-75.0138113179604	91.0360385469701	7.21527348768253	1.27766798967242	1.65487594896632	53.6221461316942	-4814.85105314482
stderr.of.mean	0.46932370777723	0.186033480889721	0.594816622949322	1.23860584018884	0.260506505320682	0.0170799550865589	0.00648578925901215	0.296021291257326	0.186033480889721
stdev	8.19544791727966	5.48808326811094	7.03680763346311	27.4362331457372	1.79628335787484	0.0863389534498671	0.077008261812777	2.26820744759728	5.48808326811094
variance	67.1653665648435	30.1190579577192	49.5166616703646	752.746889227247	3.22663390177812	0.00745441488281832	0.00593027238742521	5.14476502533577	30.1190579577192
median	-4889.562466202	-4814.40669565516	-75.1643754908762	86.6068447062918	6.93800657281758	1.27350148519874	1.65364720884788	53.5845921676601	-4814.40669565516
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	87.3207917416518	7.00252223027714	1.27473763613736	1.65308617254127	53.5741211165115	NaN
HPD95.lower	-4927.32238620268	-4840.2573506393	-101.283969258883	32.170886008774	3.32569079771777	0.91871116697924	1.42102713102718	45.914724562927	-4840.2573506393
HPD95.upper	-4877.05727303977	-4806.71342693021	-63.2643572736808	141.573460494676	10.61489080676	1.42549216010079	1.78429246782466	57.3629234173934	-4806.71342693021
ACT	29514.953331613	10341.4954312109	64306.8653601383	18342.5529527767	189290.996401099	352210.575972572	63840.0955982547	153293.188372759	10341.4954312109
ESS	304.964060043394	870.377022343862	139.969503249639	490.716860579509	47.5511258915204	25.5557345918566	140.992896637299	58.7175470452901	870.377022343862
n.samples	9001	9001	9001	9001	9001	9001	9001	9001	9001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
