trace	posterior	likelihood	prior	NInfinity	b	t50	tree.height	tree.treeLength	treeLikelihood
mean	-5420.01748417843	-5341.38273822084	-78.6347459575932	117.284315553275	5.81574263014544	1.38005749053674	1.84723398442658	61.5459447074448	-5341.38273822084
stderr.of.mean	0.594276158085282	0.1541970203269	0.692645121969418	1.56459737754914	0.216188121721908	0.0137902998053959	0.00487145834325345	0.141798213923623	0.1541970203269
stdev	8.63815632004393	5.44847712338981	7.04882064999608	34.8725155371738	1.48371118614941	0.0909316343048995	0.0800276253537699	2.29667595362849	5.44847712338981
variance	74.6177446095149	29.6859029641021	49.6858725558111	1216.09233989043	2.20139888390488	0.00826856211735997	0.00640442081976336	5.27472043597531	29.6859029641021
median	-5419.72938746322	-5340.90410150053	-78.8421476377972	111.682291640772	5.59852407970765	1.37941563251653	1.84374748884044	61.5017843927253	-5340.90410150053
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	112.56858896708	5.63697157165231	1.37702273120362	1.84550495202159	61.5031026337326	NaN
HPD95.lower	-5460.08031504459	-5365.21132342293	-104.662141720001	39.9723643236969	2.42537970739114	0.990243575754258	1.58587814837291	53.713843241806	-5365.21132342293
HPD95.upper	-5406.2636531587	-5333.24087171715	-66.7218170686429	183.031882029901	8.5568024134048	1.52377592070543	1.9813186398544	65.3775835482833	-5333.24087171715
ACT	42596.802489949	7208.48839653495	86902.274418866	18116.7856994246	191076.562110204	206995.034091917	33348.8321402317	34307.1450344694	7208.48839653495
ESS	211.306940283226	1248.66678072572	103.576115357067	496.832062228669	47.1067717599433	43.4841349672334	269.904504066314	262.365171772715	1248.66678072572
n.samples	9001	9001	9001	9001	9001	9001	9001	9001	9001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
