trace	posterior	likelihood	prior	NInfinity	b	t50	tree.height	tree.treeLength	treeLikelihood
mean	-5816.98086025904	-5746.95439253742	-70.0264677216239	180.868354474482	5.35377435019918	1.48722312826802	1.99727253351632	69.4568807405396	-5746.95439253742
stderr.of.mean	0.450176789916479	0.295794905051448	0.632459129196914	3.11326274087991	0.16700845606973	0.0168450980935582	0.00540413483308576	0.237819098255701	0.295794905051448
stdev	9.01716015160179	6.40649065072205	7.49374393153692	60.3205903670259	1.20365039858475	0.101814419526811	0.0825775181869015	2.57582798006236	6.40649065072205
variance	81.3091771996353	41.0431224577891	56.1561981114464	3638.57362222653	1.44877428201324	0.0103661760235815	0.00681904650990805	6.63488978287214	41.0431224577891
median	-5816.45933526885	-5746.42567442117	-69.9221289980316	170.38296013191	5.22459008455295	1.48831844250067	1.99230547189419	69.359574608223	-5746.42567442117
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	171.910671835209	5.22021174830016	1.48369144625049	1.99558100017133	69.4094353954898	NaN
HPD95.lower	-5860.20769828408	-5777.7548672267	-95.9510980200721	61.0190123587478	2.5387292760606	1.10315912103468	1.74813502600359	60.5192552968143	-5777.7548672267
HPD95.upper	-5803.0471284861	-5737.45849588558	-57.6270230888737	293.829329110336	7.55153808192301	1.6449444073423	2.14129388052638	73.7642388972983	-5737.45849588558
ACT	22432.0589620485	19185.9579830405	64107.6324175499	23974.131630583	173268.134040337	246360.464138004	38545.2799039668	76718.8788103472	19185.9579830405
ESS	401.256077974307	469.145195040897	140.404498818083	375.446341026914	51.9483865273495	36.535894797462	233.517567453796	117.324446597439	469.145195040897
n.samples	9001	9001	9001	9001	9001	9001	9001	9001	9001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
