trace	posterior	likelihood	prior	NInfinity	b	t50	tree.height	tree.treeLength	treeLikelihood
mean	-4740.20345712654	-4623.16001314991	-117.043443976627	38.9249279481813	3.34333812023277	1.33676585194002	2.06638438669258	48.2268313247224	-4623.16001314991
stderr.of.mean	0.137480423642916	0.0667625076607588	0.151540315899018	0.167283130617365	0.0396628900907711	0.00437374167621842	0.00396956934236082	0.0435296491063696	0.0667625076607588
stdev	5.72973559242435	4.64330176119767	4.13441727637849	9.48203463754293	0.805180051909734	0.109095136209311	0.119472083413988	2.12911543509791	4.64330176119767
variance	32.8298699590944	21.5602512455414	17.093406215217	89.9089808675638	0.648314915993362	0.0119017487445281	0.0142735787152789	4.53313253597215	21.5602512455414
median	-4739.80267790229	-4622.7677228815	-117.095067510067	37.6832858298284	3.20892202298195	1.33638259113987	2.06349680152665	48.2166808497327	-4622.7677228815
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	37.8440942162267	3.25578596421374	1.3322784678959	2.06293594109403	48.1797919792367	NaN
HPD95.lower	-4765.66030522584	-4643.27236730063	-134.109775713645	16.7103574026189	1.53373089140988	0.953371537929609	1.61494056654889	39.3717223629323	-4643.27236730063
HPD95.upper	-4731.40944148207	-4616.25356878584	-110.079572729696	55.8924610706607	4.84358025139347	1.52126689928035	2.26647801373319	51.7813099265178	-4616.25356878584
ACT	5181.49478134326	1860.60407693178	12091.2240036376	2801.19746173082	21838.6205979632	14465.651041932	9935.65299581536	3761.96213458363	1860.60407693178
ESS	1737.14350391888	4837.67616743216	744.424220185824	3213.26865491247	412.159731409019	622.232623606676	905.929384187531	2392.63439609188	4837.67616743216
n.samples	9001	9001	9001	9001	9001	9001	9001	9001	9001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
