trace	posterior	likelihood	prior	NInfinity	b	t50	tree.height	tree.treeLength	treeLikelihood
mean	-5475.64222208969	-5416.23665424272	-59.4055678469731	163.239449962154	7.01696416741465	1.39226038987544	1.78875911404265	63.2356315551754	-5416.23665424272
stderr.of.mean	0.73071783173673	0.211176702931975	0.837979404876229	1.19737122226541	0.232570291715836	0.0145497194303251	0.00646156818921424	0.36075987554311	0.211176702931975
stdev	9.7270029889079	5.98595777874257	8.78355230008978	52.6725050267471	1.7638956194135	0.0738228076666698	0.0755571247138682	2.34397232818713	5.98595777874257
variance	94.6145871462231	35.8316905288887	77.1507910084125	2774.3927857927	3.11132775618612	0.00544980693179011	0.00570887909502704	5.49420627530697	35.8316905288887
median	-5475.28186007704	-5415.92555152253	-59.6789813444142	153.22104500158	6.76769161937519	1.39685921726123	1.78904874686664	63.267075161623	-5415.92555152253
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	155.687470743617	6.8081405497742	1.39028876566628	1.78715858033657	63.1919301979519	NaN
HPD95.lower	-5518.67444774872	-5440.80286080263	-91.5650913191561	51.5426993047931	3.29810243963425	1.08229876368203	1.53748938751808	54.4810950501895	-5440.80286080263
HPD95.upper	-5460.14371533355	-5407.09380314468	-44.4433048163183	261.9666746566	10.3002207803171	1.5005890828167	1.91462235483322	66.9534485487996	-5407.09380314468
ACT	50790.6553543151	11201.2687057653	81916.0139039672	4650.84846744141	156460.680917122	349599.356424025	65821.4616706493	213193.520057749	11201.2687057653
ESS	177.217638504743	803.569688080703	109.88083490674	1935.34578970098	57.528830548602	25.7466149024679	136.748710398415	42.2198573275673	803.569688080703
n.samples	9001	9001	9001	9001	9001	9001	9001	9001	9001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
