trace	posterior	likelihood	prior	NInfinity	b	t50	tree.height	tree.treeLength	treeLikelihood
mean	-4920.78535639854	-4839.05845163418	-81.7269047643592	71.3338380035498	7.86007573321561	1.41625377026703	1.76466302762912	52.7966571044708	-4839.05845163418
stderr.of.mean	0.707354794023029	0.216462921294076	0.730649269183008	0.607191064122182	0.462198684375752	0.0179317586913721	0.005427648232727	0.186675163448908	0.216462921294076
stdev	9.11703755380115	6.32875080748723	7.10065578927388	19.3835244236686	2.43262600954557	0.0822650687979924	0.0767645357935657	2.03768521335292	6.32875080748723
variance	83.1203737574204	40.0530867832703	50.4193126377487	375.721019082957	5.9176693023176	0.00676754154433843	0.00589279395560162	4.15216102871713	40.0530867832703
median	-4920.42873832668	-4838.59885439052	-82.04514894918	68.3911134708695	7.3832845991813	1.41590311756105	1.76487132752126	52.8530408793385	-4838.59885439052
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	68.9191166969162	7.53119718957679	1.41384357302345	1.76299060168304	52.7570986839122	NaN
HPD95.lower	-4961.66328109865	-4869.05193875797	-108.593155343433	25.554324075882	3.1364245972899	1.09904549021007	1.50666955061472	45.2946604011875	-4869.05193875797
HPD95.upper	-4906.16527129534	-4829.38779680337	-69.5275386172734	106.716541905608	12.3889436200102	1.55899975605197	1.89136338145805	56.0435389414962	-4829.38779680337
ACT	54176.3346636746	10528.6707047605	95293.5468641292	8831.3633937293	324899.634060101	427619.346435165	44992.9671338202	75533.8108991964	10528.6707047605
ESS	166.142653538265	854.903743540034	94.4555040314928	1019.20842781661	27.7039400984212	21.0490944224964	200.053487764628	119.165177724348	854.903743540034
n.samples	9001	9001	9001	9001	9001	9001	9001	9001	9001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
