trace	posterior	likelihood	prior	NInfinity	b	t50	tree.height	tree.treeLength	treeLikelihood
mean	-4787.06114657137	-4683.62958804473	-103.431558526638	46.4645337265557	5.29419770168055	1.42641848734135	1.91373361254909	49.4389958300033	-4683.62958804473
stderr.of.mean	0.219843197752934	0.0801028380252736	0.216841134740138	0.272070119057738	0.106833225385827	0.00949704938286023	0.00421244261676116	0.0912032643284789	0.0801028380252736
stdev	6.66190447138312	4.68388291100215	5.08199665755231	11.8098151712162	1.45901531250344	0.100823065995169	0.099614145349702	2.15605125088308	4.68388291100215
variance	44.3809711858344	21.938759123978	25.8266900273729	139.471734378289	2.12872568211952	0.0101652906366663	0.00992297795375157	4.6485569964345	21.938759123978
median	-4786.70465291962	-4683.24614205493	-103.514948488726	44.787868276651	5.06600580135388	1.42758145942055	1.90998359130313	49.3940940671493	-4683.24614205493
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	45.0718260784464	5.11222891814852	1.42284953017318	1.91115040084059	49.3920105851723	NaN
HPD95.lower	-4826.13356173891	-4706.49179549935	-123.409522749122	19.0274814774124	2.25184909243496	1.05196098791532	1.56714359037893	41.0421347990542	-4706.49179549935
HPD95.upper	-4776.73956292554	-4676.60292030765	-95.0087962769557	68.3043809523749	7.96217204313311	1.58184416395923	2.0850393488421	53.1141126703099	-4676.60292030765
ACT	9801.03110390799	2632.24464510723	16385.4018368419	4776.59033854998	48254.240558899	79854.6290329221	16094.1658812758	16104.4207806267	2632.24464510723
ESS	918.372761454763	3419.51498191131	549.330439962822	1884.39856927995	186.532828944088	112.717322827824	559.270984678485	558.914854660779	3419.51498191131
n.samples	9001	9001	9001	9001	9001	9001	9001	9001	9001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
