trace	posterior	likelihood	prior	NInfinity	b	t50	tree.height	tree.treeLength	treeLikelihood
mean	-5053.51375989714	-5016.54413972013	-36.9696201770166	196.267032048892	9.16416403508287	1.25268352707644	1.56200200782381	56.9558735103309	-5016.54413972013
stderr.of.mean	1.14197992332269	0.152039912663742	1.21555882261632	1.35255259258539	0.31850253651851	0.0080689023441831	0.00933716033577528	0.294859135426123	0.152039912663742
stdev	10.5554432888802	4.59893339272405	10.064873447123	68.3274172506946	2.13555573411139	0.0458642193546769	0.0645934787868237	2.01367783148618	4.59893339272405
variance	111.417383024766	21.1501883507124	101.301677506601	4668.63594815052	4.56059829349604	0.00210352661701392	0.00417231750178384	4.05489840901887	21.1501883507124
median	-5053.22638362076	-5016.08813770241	-37.0560388284175	184.863234478949	8.84712412335065	1.25707315101343	1.55975825692355	56.9463785655706	-5016.08813770241
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	185.753158071657	8.92605680223315	1.25183371054608	1.56066814747927	56.9203054637919	NaN
HPD95.lower	-5100.04015364863	-5040.92310255648	-73.3892021159153	63.2954399971485	4.18951570522087	1.06179705825629	1.39472011908801	51.4566228775844	-5040.92310255648
HPD95.upper	-5036.59414247463	-5009.79723757509	-20.3736385405792	326.8836864699	12.9713857368767	1.3215541254988	1.67242348062816	60.3737159823272	-5009.79723757509
ACT	105343.195504223	9836.56548901213	131273.730349835	3526.6374634846	200191.887531296	278562.987216844	188059.287961992	192970.846395948	9836.56548901213
ESS	85.4445316274763	915.05515924786	68.5666505858635	2552.28956568343	44.9618618965909	32.312261187066	47.8625655640001	46.6443515593607	915.05515924786
n.samples	9001	9001	9001	9001	9001	9001	9001	9001	9001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
