Sample	posterior	likelihood	prior	NC	r	tau	x	tree.height	tree.treeLength	D.treeLikelihood
0	-44150.44212623459	-43926.516598002134	-223.9255282324599	13048.30584682773	0.4082483015768659	61.439493454380795	35.494494887604844	57.735017579125355	1896.9191766776873	-43926.516598002134
1000	-44156.43152468979	-43935.13477069135	-221.29675399844146	10731.400982814766	0.4082483015768659	61.439493454380795	35.494494887604844	56.69819095726071	1866.7464512807162	-43935.13477069135
2000	-44160.74039276049	-43937.85186497597	-222.8885277845212	9686.891865310716	0.4082483015768659	61.439493454380795	35.494494887604844	55.82450258332318	1829.1007615766334	-43937.85186497597
3000	-44156.6253396016	-43933.0827294027	-223.54261019890455	9686.891865310716	0.4082483015768659	61.439493454380795	35.494494887604844	56.632474064375685	1861.8970643261462	-43933.0827294027
4000	-44172.10094809639	-43950.30335315224	-221.79759494415396	9686.891865310716	0.4082483015768659	61.439493454380795	35.494494887604844	56.468901722835284	1859.3847022543146	-43950.30335315224
5000	-44158.359937814224	-43938.384508967705	-219.97542884651924	9198.250299418321	0.4082483015768659	61.439493454380795	35.494494887604844	56.50028240487049	1862.57615250935	-43938.384508967705
6000	-44157.45703509712	-43936.88040883962	-220.57662625749697	9198.250299418321	0.4082483015768659	61.439493454380795	35.494494887604844	57.15122771615069	1863.2914987512263	-43936.88040883962
7000	-44157.721197435974	-43934.17967551204	-223.54152192393812	9198.250299418321	0.4082483015768659	61.439493454380795	35.494494887604844	57.41217296532655	1863.2380570429282	-43934.17967551204
8000	-44149.7243064195	-43930.47965536121	-219.24465105828736	9198.250299418321	0.4082483015768659	61.439493454380795	35.494494887604844	56.23424127628842	1852.2606050242791	-43930.47965536121
9000	-44151.89522887249	-43929.93556858935	-221.95966028313566	9198.250299418321	0.4082483015768659	61.439493454380795	35.494494887604844	56.89498113527699	1864.8309144589518	-43929.93556858935
10000	-44155.23938532539	-43934.96118914473	-220.27819618065908	8376.554898296052	0.4082483015768659	61.439493454380795	35.494494887604844	56.48457112775515	1849.986661038328	-43934.96118914473
11000	-44154.15580423694	-43931.8226292064	-222.33317503054087	12128.175339576537	0.4082483015768659	61.439493454380795	35.494494887604844	57.45492436099005	1882.0174770243086	-43931.8226292064
12000	-44153.32575432354	-43932.426112344394	-220.89964197914156	8426.258227329448	0.4082483015768659	61.439493454380795	35.494494887604844	56.781270140174215	1854.6929798529072	-43932.426112344394
13000	-44150.403599080266	-43925.36794190597	-225.03565717429368	8426.258227329448	0.4082483015768659	61.439493454380795	35.494494887604844	57.29161037426401	1859.160061567884	-43925.36794190597
14000	-44144.56005341268	-43920.41276154771	-224.14729186497007	8426.258227329448	0.4082483015768659	77.72753469054588	35.494494887604844	58.73872517990597	1854.066844825941	-43920.41276154771
15000	-44151.87427846812	-43928.1292420272	-223.74503644092286	6357.111792559999	0.4082483015768659	70.51161811885802	35.494494887604844	58.15133760104645	1843.2116744707398	-43928.1292420272
16000	-44155.79582467279	-43933.206687584316	-222.58913708846777	6210.953822580524	0.4082483015768659	70.51161811885802	35.494494887604844	58.68794674065445	1825.8291767499122	-43933.206687584316
17000	-44151.322774272936	-43929.1864718718	-222.13630240114003	8272.542689734386	0.4082483015768659	70.51161811885802	35.494494887604844	56.88808889397343	1848.293621712315	-43929.1864718718
18000	-44158.704595360054	-43935.1170055351	-223.587589824949	11730.717666465142	0.4082483015768659	59.86847569647245	35.494494887604844	57.173744777482625	1871.8290598090055	-43935.1170055351
19000	-44169.476998814906	-43944.86973104149	-224.60726777341745	13799.844168564969	0.4082483015768659	69.0593900961723	35.494494887604844	59.56400243592739	1923.9964549031258	-43944.86973104149
20000	-44152.07950251848	-43928.00779516254	-224.07170735593607	12366.558030676302	0.4082483015768659	59.27082409723253	35.494494887604844	56.7610188122256	1865.125904064461	-43928.00779516254
21000	-44148.49172164723	-43926.14629681345	-222.34542483377868	10893.021614608615	0.4082483015768659	63.37172314796891	35.494494887604844	59.04878065536717	1864.8345499405789	-43926.14629681345
22000	-44153.77161441672	-43931.351918534565	-222.41969588215431	7471.502753003412	0.4082483015768659	68.70579395395953	35.494494887604844	58.61789381783193	1852.2266240850315	-43931.351918534565
23000	-44152.51077739342	-43921.32865771994	-231.1821196734847	12621.138560687195	0.4082483015768659	68.55728624776813	35.494494887604844	60.311368470008304	1892.3803908699279	-43921.32865771994
24000	-44153.10056565281	-43931.94440155157	-221.15616410123982	6820.053512287046	0.3630920168762458	65.38189165629103	35.494494887604844	60.072269065136794	1876.974864809355	-43931.94440155157
25000	-44158.34518270894	-43934.66023048428	-223.68495222465367	11366.106806094587	0.3630920168762458	65.38189165629103	35.494494887604844	61.82763474876565	1907.9133343282178	-43934.66023048428
26000	-44152.72633748232	-43928.957136855206	-223.76920062711622	7209.890212421786	0.3630920168762458	64.02213308963759	35.494494887604844	58.925182678039334	1881.8828138829722	-43928.957136855206
27000	-44150.01952715237	-43928.52872183191	-221.49080532045568	11824.144264780052	0.41468799961994574	64.02213308963759	35.494494887604844	57.675035400797974	1866.8319335516169	-43928.52872183191
28000	-44143.770701784015	-43923.00601317002	-220.7646886139901	8306.14451580259	0.3651584276317515	66.56838225782971	35.494494887604844	59.863803745697666	1887.5218103681025	-43923.00601317002
29000	-44149.41287037014	-43926.21018511604	-223.2026852540987	5151.116195087768	0.3651584276317515	66.56838225782971	35.494494887604844	59.09183079424933	1838.2384254556703	-43926.21018511604
30000	-44148.896619527724	-43927.418537670776	-221.4780818569476	5808.6067096773895	0.3651584276317515	75.06372601169382	35.494494887604844	57.51436610799496	1865.3002580602447	-43927.418537670776
31000	-44147.63434843516	-43928.06863301114	-219.56571542401574	5914.634275749243	0.3651584276317515	59.683722723697784	35.494494887604844	59.27948745584563	1872.134101247451	-43928.06863301114
32000	-44154.907520543115	-43936.240318713026	-218.6672018300913	7027.567900694023	0.3651584276317515	65.1225046256735	35.494494887604844	57.83663423585535	1876.782860444839	-43936.240318713026
33000	-44153.90366544434	-43932.73770663584	-221.16595880849914	6600.016989498367	0.3651584276317515	65.01090478809077	35.494494887604844	59.75285491388948	1869.7870106354378	-43932.73770663584
34000	-44150.71661161696	-43927.001067374964	-223.71554424200005	12437.963542630026	0.37192549462810814	73.10464169194651	35.494494887604844	60.947393213314214	1900.4834000480466	-43927.001067374964
35000	-44152.13076050654	-43926.49896810252	-225.63179240401902	9049.753766700234	0.37192549462810814	85.41214830670506	35.494494887604844	61.016426710434914	1888.041404471723	-43926.49896810252
36000	-44153.570759514805	-43928.4145529857	-225.15620652910496	8188.019906257466	0.3547849507364082	60.010188841330375	35.494494887604844	60.97748080036985	1886.7927995384343	-43928.4145529857
37000	-44154.47764560795	-43931.191743097435	-223.28590251051102	5626.0869506067875	0.3547849507364082	78.90992500379635	35.494494887604844	60.49718489888042	1890.109602563879	-43931.191743097435
38000	-44150.539007409614	-43928.521410798894	-222.01759661072012	5255.013589000158	0.34675349775897435	68.21939990375175	35.494494887604844	59.88400928872319	1888.9581308221102	-43928.521410798894
39000	-44166.277634485705	-43943.13834887661	-223.13928560909574	7739.91824762885	0.33824418081458746	65.97637833004691	35.494494887604844	60.49414416006045	1898.7509830788463	-43943.13834887661
40000	-44154.24166817864	-43934.4775612824	-219.7641068962395	7678.291905602936	0.36268930567353636	69.44121819616575	35.494494887604844	56.961497447169094	1880.507665984965	-43934.4775612824
41000	-44161.1332633263	-43939.46439169566	-221.66887163063603	7915.72808160735	0.3806014917289204	56.400534968735414	35.494494887604844	56.6825791963718	1839.3797433141517	-43939.46439169566
42000	-44157.00121658666	-43934.74199257861	-222.25922400804993	4976.275611653635	0.33586978774234594	75.19829833602377	35.494494887604844	57.408389148798946	1877.154374631798	-43934.74199257861
43000	-44150.52557694548	-43923.19363330926	-227.33194363622147	6876.58437281392	0.33586978774234594	65.67887588261736	35.494494887604844	62.46284637744013	1872.9024507670524	-43923.19363330926
44000	-44149.281398319996	-43925.558817992795	-223.72258032719958	3532.233896743008	0.3045600983743347	70.21580078801776	35.494494887604844	58.235018949719	1875.1535802605438	-43925.558817992795
45000	-44146.845457677075	-43924.33507787083	-222.51037980623957	5653.75890096363	0.34309326422941594	71.0605910205475	35.494494887604844	60.06115972044033	1877.717861947903	-43924.33507787083
46000	-44153.41114423256	-43931.48381915104	-221.92732508151732	8995.292453896966	0.36337600623948346	59.68729667174508	35.494494887604844	59.722319928292094	1887.9785018013754	-43931.48381915104
47000	-44151.78266184307	-43930.39122202222	-221.39143982084738	7580.041858465732	0.3746859741601972	67.17948077083541	35.494494887604844	58.653353717970916	1848.915982719287	-43930.39122202222
48000	-44157.6818616209	-43934.32741614924	-223.3544454716588	8097.161378775799	0.3524669426583141	73.47137799403897	35.494494887604844	62.41446908288407	1897.9485549558815	-43934.32741614924
49000	-44152.942995551886	-43935.365310851994	-217.57768469989256	5642.006496175646	0.3665763519261839	65.81230740891782	35.494494887604844	56.93870028073264	1852.6873494064982	-43935.365310851994
50000	-44152.10977027616	-43927.79845395381	-224.31131632235562	4672.570172119605	0.3298347813993469	65.81230740891782	35.494494887604844	62.22692174701227	1888.6117708970824	-43927.79845395381
51000	-44158.49433350364	-43933.66771242455	-224.82662107909107	3627.6074817646913	0.3089461206767097	62.92516735495482	35.494494887604844	61.80886776061637	1877.3147628959007	-43933.66771242455
52000	-44152.676255657534	-43922.927543286736	-229.74871237079532	6570.376428726162	0.3376726930103553	87.55152183849029	35.33782330658337	60.28648903183089	1860.222067670008	-43922.927543286736
53000	-44144.917519779934	-43923.01066224637	-221.90685753356144	4790.622018181023	0.33628309029402714	62.47252357685825	35.33782330658337	59.96083117036723	1866.6821631264245	-43923.01066224637
54000	-44149.49397534305	-43926.58727390247	-222.90670144057992	12131.062182893527	0.4131230915168944	78.7220838725573	35.33782330658337	58.012573465398035	1863.4121184017945	-43926.58727390247
55000	-44155.522291074085	-43933.17502730837	-222.34726376571848	7810.416262633697	0.35824930290407	61.561325194683555	35.33782330658337	59.59856375241599	1898.9962913875252	-43933.17502730837
56000	-44150.25863132446	-43926.91243321154	-223.3461981129233	5517.4023806627665	0.3775044555139199	72.56135969171935	35.33782330658337	59.12090409266208	1861.1245701643197	-43926.91243321154
57000	-44154.5777424806	-43935.95746024066	-218.62028223994457	6390.675356592613	0.3775044555139199	68.27787086472769	35.33782330658337	58.41495335351141	1840.3591182898485	-43935.95746024066
