Sample	posterior	likelihood	prior	NInfinity	b	t50	tree.height	tree.treeLength	D.treeLikelihood
0	-4823.274247471963	-4720.003563881866	-103.2706835900965	39.41002922824612	3.772292544432908	1.292006864757664	1.9058945034575818	49.23572820257537	-4720.003563881866
1000	-4830.107639277605	-4725.713584098851	-104.39405517875352	73.35171511672844	3.7917003700675447	1.2986540278964231	1.9382891070011679	50.574928230297516	-4725.713584098851
2000	-4827.671858656036	-4723.792054244495	-103.8798044115409	73.35171511672844	3.776407222410127	1.293416138330754	1.9554125315078243	50.87880573114904	-4723.792054244495
3000	-4830.45895860056	-4726.721618523763	-103.73734007679764	70.69724103498696	3.7389488458638622	1.2805866774471135	1.9421977354421882	51.77595793274532	-4726.721618523763
4000	-4831.243832572728	-4724.117962154403	-107.12587041832445	53.22001968465916	3.6913512037550364	1.2642845270633538	1.917473130606149	50.139810484194605	-4724.117962154403
5000	-4818.108862212325	-4717.3027988260355	-100.80606338628967	74.2195132290757	3.660489126759523	1.2767236102596977	1.9363388268064858	51.647740584667766	-4717.3027988260355
6000	-4829.462513327599	-4726.407575720544	-103.05493760705475	74.2195132290757	3.670826582882362	1.2803291596398532	1.9418071718740157	51.714759020669035	-4726.407575720544
7000	-4824.597909673426	-4724.581918460735	-100.0159912126906	88.53844341714563	3.6535522226290666	1.2743041223227671	1.9326693180767802	51.69071379375393	-4724.581918460735
8000	-4825.744893608854	-4717.889368264917	-107.85552534393697	57.46047254779507	3.6742275432799576	1.2815153635286796	1.9436062242515117	51.14896062240862	-4717.889368264917
9000	-4829.198139087596	-4727.572828014453	-101.62531107314315	62.25324397637901	3.6358542695576106	1.268131342194993	1.931481799022467	51.71956984488468	-4727.572828014453
10000	-4837.366239385689	-4730.4672418312775	-106.89899755441226	62.25324397637901	3.660018991988068	1.2765596343149723	1.9254849754624195	49.9676036589722	-4730.4672418312775
11000	-4827.2600938281075	-4721.276040699002	-105.98405312910579	62.25324397637901	3.5960533863112576	1.2542493921085045	1.891833561918756	49.738768850360664	-4721.276040699002
12000	-4816.6600195763185	-4710.653110683559	-106.00690889275906	67.65102481841842	3.5960533863112576	1.2542493921085045	1.891833561918756	49.630730643976875	-4710.653110683559
13000	-4813.627887384769	-4711.60745802774	-102.02042935702829	52.292345444574785	3.5960533863112576	1.2542493921085045	1.9270720721276695	50.2300627275003	-4711.60745802774
14000	-4817.593744598859	-4717.034807602427	-100.55893699643258	52.292345444574785	5.131067527290392	1.467923273799374	1.9114089831934156	52.089201373879575	-4717.034807602427
15000	-4819.846116143785	-4714.906554653803	-104.9395614899825	50.080873530265926	3.8414150263712243	1.318705909304653	1.9161204004021248	49.70461929515142	-4714.906554653803
16000	-4817.183488100281	-4711.609916282803	-105.57357181747763	33.32362683172879	4.198932437188697	1.3673235038735945	1.9565666109472235	49.55772849386486	-4711.609916282803
17000	-4815.171494742308	-4710.880010424771	-104.29148431753705	38.94694114061727	4.208163171859898	1.3749042975341141	1.9657065717077846	50.73736100141271	-4710.880010424771
18000	-4827.43509245209	-4716.489925067365	-110.94516738472502	68.2874913137186	3.9956960911384134	1.3884686932908903	2.012149180979157	50.63943044795281	-4716.489925067365
19000	-4820.317187182147	-4716.869316456552	-103.44787072559518	43.15424689019337	3.856414788780592	1.3615196496429642	1.9736864367625655	51.22290512857414	-4716.869316456552
20000	-4825.301796166478	-4719.462355546219	-105.83944062025917	39.35621887925602	3.244266699892472	1.2607768384596454	1.988237005625255	50.71081484454235	-4719.462355546219
21000	-4817.800638863841	-4711.362982129218	-106.4376567346238	47.56993469785987	3.392669168183683	1.2920705448949037	2.0003398589052446	51.23432538424377	-4711.362982129218
22000	-4828.381717687157	-4717.912185929974	-110.46953175718359	42.318587459264606	3.4452666931064946	1.3027009964834804	2.0392490338504703	49.45266752566216	-4717.912185929974
