trace	posterior	likelihood	prior	N0	b	f0	tree.height	tree.treeLength	treeLikelihood
mean	-16003.0076391947	-15845.0222305214	-157.985408673271	2385.47139690665	0.35899177855423	0.757430643065883	9.9150854268591	310.452256069808	-15845.0222305214
stderr.of.mean	0.0618848692533442	0.0546091243520289	0.0451320352085158	13.5300220493953	0.000873857296471611	0.00165555663622573	0.00436018363385839	0.0256956163180566	0.0546091243520289
stdev	5.23186908715426	4.73928247300519	2.54522935327572	855.052381035119	0.0337329434060675	0.0649643507619165	0.245524892936127	5.78314206593347	4.73928247300519
variance	27.3724541451204	22.4607983589342	6.47819246077636	731114.574313826	0.00113791147083695	0.00422036686991732	0.0602824730512965	33.4447321547693	22.4607983589342
median	-16002.675031656	-15844.688802485	-157.892310701418	2232.22522401138	0.357304278546041	0.761727106417053	9.90708722067681	310.422491411668	-15844.688802485
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	2248.98422947875	0.357420986806182	0.754557628314297	9.91205228974118	310.398389533518	NaN
HPD95.lower	-16031.2377819778	-15871.9186107838	-172.25560995276	586.921662556729	0.241628948680864	0.449659288793256	8.97474487072541	284.845556183991	-15871.9186107838
HPD95.upper	-15995.0259364685	-15837.8257033098	-153.985422033903	3984.05768728876	0.417851171502117	0.857524957527857	10.3329277539882	320.020781110051	-15837.8257033098
ACT	1259.20873574359	1194.94453092175	2829.81796655424	2253.48191322405	6039.69583456843	5844.94446550269	2838.31772664635	177.6776759177	1194.94453092175
ESS	7147.42500153105	7531.8140441695	3180.45192530849	3993.8638722525	1490.1578235923	1539.80932635362	3170.9275940133	50654.0844454136	7531.8140441695
n.samples	90001	90001	90001	90001	90001	90001	90001	90001	90001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	100	100	100	100	100	100	100	100	100
