trace	posterior	likelihood	prior	N0	b	f0	tree.height	tree.treeLength	treeLikelihood
mean	-17082.7990076317	-16930.3939430382	-152.405064593511	3286.30895744969	0.339208641150847	0.746531499565801	10.4277533478977	342.710802640046	-16930.3939430382
stderr.of.mean	0.0893160948139518	0.0843434133266167	0.0543359680318132	21.2861291161241	0.000778890045653405	0.00165794963259539	0.00490151777131314	0.0268524050563849	0.0843434133266167
stdev	5.56021370471571	5.04058013152562	2.797634766446	1226.48544445027	0.0305889146972694	0.0647584676123094	0.265171660514179	6.107943162255	5.04058013152562
variance	30.9159764421084	25.4074480623309	7.82676028642735	1504266.54544837	0.000935681702356823	0.00419365912749453	0.0703160095398472	37.3069696733376	25.4074480623309
median	-17082.3965777453	-16929.9702360275	-152.281799456891	3057.53696673341	0.33752011344155	0.750063057872366	10.4181562014172	342.691346546611	-16929.9702360275
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	3083.34193499162	0.33783897995387	0.743632141930256	10.424391074405	342.656375605802	NaN
HPD95.lower	-17113.4614403521	-16961.9953578465	-168.228305421013	740.693798329165	0.224455643922858	0.38822578932747	9.36039113256648	313.888778375548	-16961.9953578465
HPD95.upper	-17074.4064936343	-16922.8469708626	-148.028456377934	5620.15750576615	0.391761883512098	0.846578948397314	10.8781171671949	352.811552014493	-16922.8469708626
ACT	2322.30359150751	2519.90291111837	3394.96494359056	2710.88501341086	5835.3469075378	5899.18543754763	3075.03070141176	173.947789698024	2519.90291111837
ESS	3875.50535292315	3571.60585842001	2651.0141193038	3319.98589223672	1542.34189373971	1525.65131157183	2926.83256653926	51740.2377783833	3571.60585842001
n.samples	90001	90001	90001	90001	90001	90001	90001	90001	90001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	100	100	100	100	100	100	100	100	100
