trace	posterior	likelihood	prior	N0	b	f0	tree.height	tree.treeLength	treeLikelihood
mean	-14009.5174512387	-13856.8276450815	-152.689806157181	2050.90672445395	0.391620429261832	0.696915504110819	8.4736793572592	259.875285462076	-13856.8276450815
stderr.of.mean	0.0659046966435177	0.0610481252078137	0.0638459629894651	11.4157541108462	0.000776960803351375	0.00153931769690393	0.00324581035059601	0.022823010681498	0.0610481252078137
stdev	5.47176411610175	4.99734373153893	3.00069909287773	740.66850719028	0.0364707379833416	0.0716499943543121	0.223664134682976	5.2870999551875	4.99734373153893
variance	29.9402025422588	24.9734443711515	9.00419504599721	548589.837543477	0.00133011472904955	0.00513372169097295	0.0500256451434845	27.9534259361436	24.9734443711515
median	-14009.1959617909	-13856.5114559599	-152.577619866118	1923.9010060034	0.389762775196826	0.70001596165059	8.46881427189635	259.840092842905	-13856.5114559599
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	1931.14600824157	0.389937096839635	0.693112626557435	8.47073262875082	259.821503216559	NaN
HPD95.lower	-14041.3668731956	-13884.9588412571	-167.709030230088	512.147392357998	0.271294314994055	0.393364488969586	7.57346418036835	236.452829259241	-13884.9588412571
HPD95.upper	-14001.1522904201	-13849.1941137091	-147.962584058825	3441.88613647812	0.454210655383901	0.808932163607534	8.84948980035744	268.669266643819	-13849.1941137091
ACT	1305.63115921031	1343.10116857992	4074.40784195907	2137.9815972912	4084.61968743944	4154.00211173896	1895.37912414048	167.707827986466	1343.10116857992
ESS	6893.29443197692	6700.98441617465	2208.93448793102	4209.62463446975	2203.41199149485	2166.609394484	4748.44314014558	53665.3542536268	6700.98441617465
n.samples	90001	90001	90001	90001	90001	90001	90001	90001	90001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	100	100	100	100	100	100	100	100	100
