trace	posterior	likelihood	prior	N0	b	f0	tree.height	tree.treeLength	treeLikelihood
mean	-17226.4332702399	-17085.2030341286	-141.23023611127	5624.66881099716	0.389639428682726	0.824698248515034	10.2972789883707	356.111859787035	-17085.2030341286
stderr.of.mean	0.100352376494777	0.0796889064097907	0.0511307567696924	40.8738657056224	0.00119608871410056	0.00184953587311679	0.00331088580432419	0.0301208904008214	0.0796889064097907
stdev	5.99684385431728	5.29565376684528	2.57218827048431	2221.05680343598	0.0365445742296839	0.0552784826459113	0.238452530687614	6.32301588600739	5.29565376684528
variance	35.962136213063	28.0439488183025	6.61615249881705	4933093.32408924	0.00133550590562888	0.00305571064363432	0.0568596093913275	39.9805298947018	28.0439488183025
median	-17226.0227754549	-17084.7974408256	-141.11289360374	5215.68159892384	0.387905670457618	0.830475499044433	10.2891905677514	356.075950434552	-17084.7974408256
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	5239.20062231479	0.387935844084536	0.822784614184913	10.2945254431581	356.055729207569	NaN
HPD95.lower	-17257.9805382577	-17112.845533133	-154.75323347251	1256.96572314473	0.252328513839322	0.506278283294562	9.37998244144308	329.942407578218	-17112.845533133
HPD95.upper	-17217.3295500806	-17077.195428582	-137.220711488198	9853.6022575793	0.452981589559184	0.905668663183844	10.7033111588996	366.545089986654	-17077.195428582
ACT	2520.30064802525	2037.97605702159	3556.3250079068	3047.99749159641	9641.03105207612	10075.2492955601	1735.11011291518	204.234720433725	2037.97605702159
ESS	3571.04221159167	4416.19516038537	2530.73045348499	2952.7911439606	933.520486697519	893.288070198536	5187.04832218334	44067.4336904463	4416.19516038537
n.samples	90001	90001	90001	90001	90001	90001	90001	90001	90001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	100	100	100	100	100	100	100	100	100
