trace	posterior	likelihood	prior	N0	b	f0	tree.height	tree.treeLength	treeLikelihood
mean	-14741.5892041791	-14603.2812006378	-138.30800354132	3992.75683788606	0.434992634341303	0.753475464464101	8.40739536650256	278.576509898428	-14603.2812006378
stderr.of.mean	0.0738764339072064	0.06105075439643	0.0628602646895724	26.2169135208455	0.00108549196524	0.00176257377902271	0.00325386460446822	0.026137053800161	0.06105075439643
stdev	5.60768005609877	4.94890086520448	2.70556680808276	1557.73203088827	0.0402403256898889	0.0657104165251419	0.201142672247612	5.46885019511282	4.94890086520448
variance	31.446075611568	24.4916197736217	7.32009175299912	2426529.08005531	0.00161928381162833	0.00431785883990764	0.0404583745989103	29.9083224565855	24.4916197736217
median	-14741.226352719	-14602.9561833623	-138.149922882838	3702.07068832256	0.433451320375044	0.758640020892272	8.4041401727765	278.55922109274	-14602.9561833623
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	3725.89090240223	0.433146388868956	0.750509592733778	8.40499159852287	278.522832212234	NaN
HPD95.lower	-14770.9929768324	-14633.2139656536	-154.89681334244	770.704098039809	0.283021007074452	0.422980216440387	7.58459103661908	254.586153801904	-14633.2139656536
HPD95.upper	-14732.9929708446	-14595.7769380656	-134.149352321145	6905.56223652875	0.503400128327696	0.853113634324707	8.74386676770611	287.653740241907	-14595.7769380656
ACT	1562.02471756059	1369.64201703582	4858.23362427486	2549.29522218243	6548.96638992042	6475.43098829781	2355.22842207068	205.571885228212	1369.64201703582
ESS	5761.81663376969	6571.13310489554	1852.54573905827	3530.4267319401	1374.27793397324	1389.88432063668	3821.32786597711	43780.7922518621	6571.13310489554
n.samples	90001	90001	90001	90001	90001	90001	90001	90001	90001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	100	100	100	100	100	100	100	100	100
