trace	posterior	likelihood	prior	N0	b	f0	tree.height	tree.treeLength	treeLikelihood
mean	-15178.2932717107	-15036.7035113941	-141.589760316693	3556.16076614764	0.402671228788922	0.731668223006672	8.70255325622007	289.175669667035	-15036.7035113941
stderr.of.mean	0.0798173654237861	0.0517873449928951	0.0564294601043125	24.4539200163666	0.00094258113652005	0.00177007818329007	0.00338144495758297	0.0245844320199324	0.0517873449928951
stdev	5.47489934895498	4.85714150105483	2.82409234228124	1375.32301696099	0.0360421870918481	0.066542745678211	0.216128668824538	5.54100180696047	4.85714150105483
variance	29.9745228811876	23.5918235612692	7.97549755773155	1891513.40098267	0.00129903925036378	0.00442793700239507	0.0467116014878668	30.7027010247392	23.5918235612692
median	-15177.9196500542	-15036.3515135546	-141.500423821781	3296.94835627063	0.400981955469278	0.73550117126507	8.69649193940075	289.15303580088	-15036.3515135546
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	3323.4861571116	0.401071748891699	0.72854142810759	8.69987493272823	289.122583112219	NaN
HPD95.lower	-15208.1933191134	-15063.4660454135	-157.963432517139	911.730160493483	0.279280096418448	0.395455116439888	7.7820637873468	263.482593580679	-15063.4660454135
HPD95.upper	-15169.9685849899	-15029.3942890704	-137.127885862047	6139.84268638275	0.465089568145194	0.834039482105115	9.06727004907385	298.343273902469	-15029.3942890704
ACT	1912.86802558765	1023.1240432539	3593.32511833795	2845.31308847257	6155.42046715251	6368.33607973675	2203.0400739845	177.168408558893	1023.1240432539
ESS	4705.0292438419	8796.6850738611	2504.67177436004	3163.13169066096	1462.14219613878	1413.25769986248	4085.30925346359	50799.6886872089	8796.6850738611
n.samples	90001	90001	90001	90001	90001	90001	90001	90001	90001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	100	100	100	100	100	100	100	100	100
