trace	posterior	likelihood	prior	N0	b	f0	tree.height	tree.treeLength	treeLikelihood
mean	-14170.1414144971	-14039.2068234896	-130.93459100753	4803.37907474584	0.474269285756326	0.757681576127234	7.7567037040953	265.066225343757	-14039.2068234896
stderr.of.mean	0.0990063710251172	0.0786763929852379	0.0480123813948284	34.9375572704296	0.00119791179557087	0.00183850029343526	0.00285124783295155	0.0250292533388097	0.0786763929852379
stdev	6.12937144990683	5.3991768304215	2.68936182710668	1943.42857420326	0.0432623419257563	0.0648708989786646	0.191489540790335	5.31879392671358	5.3991768304215
variance	37.5691943709329	29.1511104461603	7.23266703709858	3776914.62302973	0.00187163022890105	0.00420823353430011	0.0366682442320934	28.2895688348452	29.1511104461603
median	-14169.7571358093	-14038.8291115426	-130.834796948251	4414.56518886026	0.47215731555765	0.762279560845139	7.75245872193252	265.048993167206	-14038.8291115426
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	4462.45801515073	0.472305310009139	0.754806017617074	7.75434299066271	265.01286106286	NaN
HPD95.lower	-14201.2947164073	-14067.2799259598	-145.687437151716	1094.70861730439	0.32580264488623	0.440490516643095	6.96756735382734	240.296427654451	-14067.2799259598
HPD95.upper	-14160.7773373866	-14031.0150105906	-126.681081625597	8508.98403923989	0.548327705876091	0.856457186467677	8.07932251978536	273.845363730635	-14031.0150105906
ACT	2348.20988307997	1911.06865086741	2868.47144986001	2908.64297113824	6900.36623083356	7228.864488852	1995.36490954009	199.302143362611	1911.06865086741
ESS	3832.74939129174	4709.45928390116	3137.59441476722	3094.26082517029	1304.29309096436	1245.02264690112	4510.50329539694	45158.0692919351	4709.45928390116
n.samples	90001	90001	90001	90001	90001	90001	90001	90001	90001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	100	100	100	100	100	100	100	100	100
