trace	posterior	likelihood	prior	N0	b	f0	tree.height	tree.treeLength	treeLikelihood
mean	-19753.7248810637	-19578.7982825149	-174.926598548848	2329.56266437502	0.269907770525712	0.79086552212279	13.6343624230638	423.791732386533	-19578.7982825149
stderr.of.mean	0.0582883043286231	0.0661276921564224	0.0777738257416301	13.9353659000524	0.000757592559104616	0.00174534493699831	0.00815793265347034	0.0294690484865034	0.0661276921564224
stdev	5.01698823654827	4.70053549378821	2.61828419212044	805.25575389972	0.0258655233235938	0.061502310696592	0.309745720606012	6.86235511456395	4.70053549378821
variance	25.1701709656637	22.0950339283628	6.85541211070777	648436.829188606	0.000669025296803373	0.00378253422102013	0.0959424114337375	47.091917718382	22.0950339283628
median	-19753.3534320327	-19578.4594964357	-174.814701660787	2190.30747604751	0.268788633793849	0.796262675865208	13.6191147064608	423.771476451537	-19578.4594964357
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	2204.87678327804	0.268676359055783	0.788391135287879	13.6308609602493	423.736179709659	NaN
HPD95.lower	-19781.5211994325	-19604.4563142917	-189.252271589885	632.575474013532	0.178688215582169	0.435156430642007	12.5254343572595	395.666263204882	-19604.4563142917
HPD95.upper	-19746.1729535861	-19571.7041477744	-170.846728604738	3830.4775760941	0.313923714699124	0.881600991119988	14.1635324006069	435.12752243535	-19571.7041477744
ACT	1214.84028978165	1781.20772080066	7941.01227592922	2695.32778834647	7720.96121707123	7248.06675540717	6242.98240561473	165.969528233573	1781.20772080066
ESS	7408.46354512793	5052.80765117862	1133.36935988389	3339.14859591952	1165.6709245088	1241.72421470674	1441.63468920009	54227.4241289276	5052.80765117862
n.samples	90001	90001	90001	90001	90001	90001	90001	90001	90001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	100	100	100	100	100	100	100	100	100
