trace	posterior	likelihood	prior	N0	b	f0	tree.height	tree.treeLength	treeLikelihood
mean	-15771.5810732921	-15603.8704494904	-167.710623801687	1578.54903060971	0.325048958236667	0.720280777532029	10.2806489868868	302.836518779488	-15603.8704494904
stderr.of.mean	0.0587071273414352	0.088805150017148	0.0638574927369903	8.39230119501895	0.00061130664632617	0.00143391430187567	0.00682152150636548	0.0245886979874972	0.088805150017148
stdev	5.17500951792368	4.83715788645267	2.6464517783461	537.734268173617	0.030013620497011	0.0684370853107395	0.28389287385176	5.71048439289837	4.83715788645267
variance	26.7807235106007	23.3980964184713	7.00370701511122	289158.143168216	0.0009008174153386	0.00468363464582944	0.0805951638238111	32.6096320015359	23.3980964184713
median	-15771.2361653686	-15603.5432966974	-167.62437108232	1485.33692790589	0.323490116696829	0.723698760868828	10.2674382026206	302.803374533435	-15603.5432966974
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	1496.00761424837	0.323676096738853	0.716928673979225	10.2767436162632	302.782677149091	NaN
HPD95.lower	-15800.9156043167	-15631.0484585455	-180.586035593904	441.393381431827	0.220098898173083	0.437650074921062	9.24887820346568	279.832779257603	-15631.0484585455
HPD95.upper	-15763.6682797548	-15596.511507592	-163.506965810462	2597.31520780373	0.376916416785054	0.826841006759	10.7690028237858	312.272227740318	-15596.511507592
ACT	1158.24881243569	3033.46010495619	5240.08419029779	2192.14464136408	3733.5671856472	3950.98965294091	5196.32172744373	166.865931438756	3033.46010495619
ESS	7770.43749440468	2966.94193712826	1717.54874027864	4105.61412334526	2410.59007444642	2277.93560362802	1732.01361887719	53936.1145945076	2966.94193712826
n.samples	90001	90001	90001	90001	90001	90001	90001	90001	90001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	100	100	100	100	100	100	100	100	100
