trace	posterior	likelihood	prior	pi_0	pi_1	pi_2	pi_3	pi_4	pi_5	pi_6	pi_7	pi_8	pi_9	pi_10	pi_11	pi_12	pi_13	pi_14	pi_15	rates_0	rates_1	rates_2	rates_3	rates_4	rates_5	NInfinity	b	t50	delta	epsilon	treeheight	treelength	D.treeLikelihood
mean	-30604.5091432932	-30608.0474452163	3.53830192307609	0.149138945581395	0.031565948129237	0.0234435475161968	0.0250447053784959	0.0320761314697124	0.240988142816946	0.0201555114652426	0.0166628987467531	0.0236548194150951	0.020399537864595	0.172986715219547	0.0090088809523947	0.0250309568783596	0.0167420699710529	0.00902819046579583	0.184072998129181	0.0417075469881594	0.489561711711024	0.0730387076888039	0.138330514533241	0.148273445678208	0.109088073400564	154.460479547646	9.30360698758397	1.23899350858501	0.624480429890564	0.00273571497655189	1.54853611987104	53.896933182511	-30608.0474452163
stderr.of.mean	0.565365210245799	0.202655469707444	0.594947242103973	0.000369403638259676	0.000157396913139987	0.000112065035862988	0.000100335855982802	0.000178105925386583	0.000525867070019638	9.70880943866795e-05	7.73708069921112e-05	0.000110379326867294	0.000116019818343621	0.000452521594920576	5.96181743005076e-05	0.000102120678772921	8.35536356720376e-05	5.9350351400062e-05	0.000405604984500599	0.000353911304198172	0.00186847178663604	0.000477447885710594	0.00064700462531426	0.000751673970315132	0.000854522207968662	0.582557174515065	0.194057651982242	0.00373266262381158	6.51105178738836e-05	3.16703714016476e-05	0.00709516106611892	0.236812306376295	0.202655469707444
stdev	11.8313044887164	7.58315793170414	11.0304660531053	0.00745002708015275	0.0147770435119193	0.00953949565749774	0.00922654098023078	0.0147707618528477	0.0093018243101141	0.0081722626074009	0.0065262078428536	0.00950586870594897	0.00822853487208151	0.00810455838729608	0.00362108491928522	0.00918030792415962	0.0065579590776984	0.00361856595270817	0.00789514285124903	0.0121774698357431	0.0455815443309924	0.0179653763403222	0.0227677144982463	0.0248766508719594	0.0316448799463189	40.8905770767708	2.75902591628638	0.102056943146767	0.00359112149484249	0.000709355716658288	0.119634718402525	4.32518941761675	7.58315793170414
variance	139.97976590472	57.5042842171675	121.671181348708	5.55029034950093e-05	0.000218361014953158	9.10019773994183e-05	8.5129058459878e-05	0.000218175405713541	8.65239354962296e-05	6.67858761243229e-05	4.25913888081239e-05	9.03615398547399e-05	6.77087861410615e-05	6.56838666530913e-05	1.31122559926749e-05	8.42780535823878e-05	4.30068272647668e-05	1.30940195540988e-05	6.23332806416286e-05	0.000148290771600434	0.00207767718359823	0.000322754747049409	0.000518368823473657	0.000618847758605361	0.00100139842681694	1672.03929367133	7.61222400673988	0.0104156196444625	1.28961535907198e-05	5.03185532755793e-07	0.0143124658472514	18.7072634982639	57.5042842171675
median	-30604.3239851162	-30607.7070496211	3.22418229851046	0.148771801889971	0.0310608650732033	0.0232227081410785	0.024833440690081	0.0317936261330123	0.241111674279623	0.0197950892919039	0.0165352046802563	0.0235591683285339	0.0201076565430417	0.172671425851885	0.00889097650243236	0.02484362077368	0.0165639837842757	0.00887297911007501	0.183761401882306	0.0412678599643887	0.488720369206292	0.0723359785936014	0.137351533246658	0.147318640660533	0.108242740064644	148.806972212717	8.80175976114046	1.235128513055	0.624540834676267	0.00274152774340284	1.54431169760746	53.7076544543321	-30607.7070496211
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.148952783513946	0.0273979041564052	0.021128276947602	0.0230746232240326	0.0279328895369579	0.240807878284196	0.0182668832446557	0.0151683725225783	0.0213602338264017	0.0184985133663951	0.172796388035457	0.00816499828978131	0.0230720892126065	0.0152385312172389	0.00819381157292001	0.18390427983228	0.0397842158559221	0.487433112283334	0.0707187684614558	0.136455838436721	0.146167536998042	0.104073184728579	149.340333694423	8.92570543973858	1.23480153511558	0.624470102982248	0.00263273805898862	1.54392597074174	53.7235789492153	NaN
HPD95.lower	-30667.4546498492	-30645.7648780922	-34.9082842451679	0.126134118828644	0.000536241796226369	0.000580821876686774	0.00125171603519907	0.000787229705017878	0.211242267991574	0.000585076886164847	0.000438164018127123	0.000512590850677744	0.000176902197685798	0.147484045075867	0.000220285424548387	0.000868699191457753	0.00055015332034735	5.45044811801829e-05	0.160625838266292	0.00585963140959514	0.346966173871853	0.00510359223928308	0.0594686447752664	0.06402217449299	0.00750725589697048	51.5422739353634	3.3742341184732	0.875417650829412	0.610862463965101	0.000288273226964135	1.17081300826764	39.3454854393916	-30645.7648780922
HPD95.upper	-30585.2272070289	-30596.254614242	22.4480829906646	0.161312545859332	0.055599492357163	0.0393427638530376	0.040527121785493	0.0559128372681342	0.256006888368575	0.0338521659336424	0.0277085044608054	0.039390557897182	0.0340761546672467	0.186349959427865	0.0151568094056236	0.0404633886583514	0.0278812192955984	0.0152180709153952	0.197913477546407	0.0622724485172349	0.564939394342166	0.103904604832831	0.177588761223347	0.190649455772688	0.162674947967421	230.491353814409	14.6429244032187	1.41418625674817	0.630489744430529	0.00388278930937079	1.75451416728395	61.302013043578	-30596.254614242
ACT	64439.1654590937	20154.5667467476	82096.7935888111	69381.4933290364	3201.65348259859	3894.4528343659	3337.27118735464	4103.06080518855	90192.9716128397	3982.94523758881	3966.33562310979	3804.94924707849	5610.17415529985	87978.5735858143	7649.56843425928	3491.9651239359	4580.89469608316	7591.5527319687	74480.6727929155	23835.9108836336	47418.9602901829	19931.3318148319	22789.4007740047	25765.1223570316	20577.6990822833	5727.79729398828	139606.935348873	37749.3408702592	9276.81960090264	56251.6383072262	99258.352628845	84597.061983661	20154.5667467476
ESS	437.947943598289	1400.22856132862	343.752767511815	406.751118286891	8814.50792641516	7246.46085092336	8456.31008559719	6878.03601748065	312.895777745752	7085.46021011436	7115.13161810382	7416.91890415321	5030.32512339033	320.771283845302	3689.22773128086	8081.6958355504	6160.58693165989	3717.42132293422	378.903666437937	1183.96985698488	595.141686517377	1415.91140332124	1238.3388347881	1095.31791112562	1371.43613030561	4927.02491926868	202.146117809094	747.589212139964	3042.098608585	501.692054653894	284.31864173211	333.593145415033	1400.22856132862
n.samples	28221	28221	28221	28221	28221	28221	28221	28221	28221	28221	28221	28221	28221	28221	28221	28221	28221	28221	28221	28221	28221	28221	28221	28221	28221	28221	28221	28221	28221	28221	28221	28221	28221
chain.length	31356000	31356000	31356000	31356000	31356000	31356000	31356000	31356000	31356000	31356000	31356000	31356000	31356000	31356000	31356000	31356000	31356000	31356000	31356000	31356000	31356000	31356000	31356000	31356000	31356000	31356000	31356000	31356000	31356000	31356000	31356000	31356000	31356000
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
