trace	posterior	likelihood	prior	pi_0	pi_1	pi_2	pi_3	pi_4	pi_5	pi_6	pi_7	pi_8	pi_9	pi_10	pi_11	pi_12	pi_13	pi_14	pi_15	rates_0	rates_1	rates_2	rates_3	rates_4	rates_5	NInfinity	b	t50	delta	epsilon	treeheight	treelength	D.treeLikelihood
mean	-23780.9504106908	-23778.7160025421	-2.23440814877992	0.175740862871079	0.0211341097097281	0.0212890713631034	0.025088390492455	0.0211865063926048	0.190918570618682	0.00602367191605094	0.0205789263358945	0.0213421682956323	0.00601191701404368	0.209627134886719	0.00947883465197994	0.0252123311932898	0.0204973592649725	0.009503579691254	0.216366565302512	0.348994719799026	0.202016546151433	0.0622135448337576	0.0411657192226161	0.306904217302089	0.0387052526910788	160.219996168652	7.70027323852382	1.42095055173031	0.338787406591923	0.00201912637685055	1.79361778928846	62.1773088464609	-23778.7160025421
stderr.of.mean	0.576126411640952	0.203443969646556	0.630091397988519	0.000412038686955582	9.29900525216268e-05	0.000108180700469051	0.000103059513119118	9.2344482713637e-05	0.000501352166868951	5.61467926025528e-05	9.51656962959329e-05	0.000104319460059508	5.2296771579752e-05	0.000464307003888678	6.11115793379206e-05	0.000108040511525395	9.91311826481459e-05	5.9525155949393e-05	0.000456804708062137	0.00106273005696346	0.000791623896799097	0.000329986760416071	0.000737012583285782	0.00109895662624159	0.000430150199900626	0.547075381681237	0.20380882278996	0.00407744952115338	8.40468790714033e-05	1.52739502397046e-05	0.00486728196799929	0.142920476477769	0.203443969646556
stdev	11.2419956510156	7.48486867414925	9.73995939577554	0.00791184331880656	0.00848262402284762	0.00814871260627731	0.00975021315271263	0.00845619091535974	0.0084071942783361	0.00251587025193951	0.00718276272217287	0.00814854204337215	0.00250048136619869	0.00834844533848316	0.00371334630910296	0.00979208901539378	0.00718141530546093	0.00372266241870874	0.00825447997675567	0.0287043604425263	0.0236838946893111	0.0124373798659438	0.024011498871036	0.0277500990501265	0.0153871807277466	40.1691166682171	2.48982844441497	0.101669125046813	0.00418218395041937	0.000476414886207174	0.104058140696753	3.58338384234864	7.48486867414925
variance	126.382466217453	56.0232590692607	94.8668090313562	6.2597264701344e-05	7.19549103129915e-05	6.64015171397028e-05	9.50666565233303e-05	7.15071647970126e-05	7.06809156336872e-05	6.32960312459415e-06	5.15920803230362e-05	6.63987374326036e-05	6.25240706270685e-06	6.96965395696413e-05	1.37889408113286e-05	9.58850072853956e-05	5.15727257895084e-05	1.38582154836664e-05	6.81364396866603e-05	0.00082394030841447	0.000560926867654379	0.000154688417929784	0.000576552078033764	0.000770067997291831	0.000236765330748336	1613.55793390484	6.19924568261788	0.0103366109877845	1.74906625951453e-05	2.26971143799795e-07	0.0108280966452652	12.8406397616053	56.0232590692607
median	-23780.9037232551	-23778.3898152916	-2.88944535699286	0.175635385977785	0.0209542524261058	0.0210671856244168	0.0249852944615737	0.0211836119306185	0.190616558301351	0.0058016467124973	0.0205452735648683	0.0211545093868304	0.00578389950832495	0.210145774445197	0.00928180748475564	0.0251167225889513	0.0203358054114418	0.00931032946195256	0.216482487462617	0.347994597268364	0.200795109007234	0.0617917366098615	0.0385798233202786	0.3064767653383	0.0377176489368255	155.088027761161	7.15609733226385	1.41987698945674	0.338798972025337	0.00202362566348582	1.79346624601647	62.1667750163543	-23778.3898152916
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.175563279622131	0.0191153488274022	0.0194693036538267	0.0228342937369072	0.0191691056425881	0.190733459298412	0.00544663401850006	0.0191241526036737	0.019522605398085	0.00544252082525305	0.209459597022942	0.00865828426622773	0.0229571477531308	0.0190498673398268	0.00868148893158848	0.216208889619236	0.347810368868786	0.200638597423572	0.0609441211255661	0.0318871450481247	0.305642888621102	0.0352150179263455	155.462293452444	7.3596187235769	1.41731091312465	0.338761592234202	0.00195735688041068	1.79059946130938	62.0741152845283	NaN
HPD95.lower	-23826.5334737272	-23816.4263193385	-35.9927830770048	0.146719292306201	0.00108177269599124	0.000495706788476283	0.000718239322448792	0.000129454183140115	0.1669155604176	0.000270419002507571	0.000378021793009609	0.00087055806202465	0.000166761558688305	0.182199452065984	0.000405319818567965	0.000497103572849732	0.000530163120982273	0.000130738114747508	0.187600685689979	0.248013688060924	0.132390644544124	0.013756658329272	4.38075873201993e-06	0.220840735748068	0.000859053660944825	62.3241154417509	3.00296287112496	1.05294230537954	0.320273682793172	0.000153664021513708	1.42420139588949	49.0928105658746	-23816.4263193385
HPD95.upper	-23762.6239410138	-23766.8480071347	15.0742041461125	0.189638084818688	0.0350651953800597	0.0349556315571391	0.0412579132601681	0.0351071977313373	0.204754648968115	0.0104270309473716	0.0325834360376647	0.0351079356546904	0.0104513359347212	0.222760770158898	0.0159262935828177	0.0415098678088397	0.0326004817938555	0.015996510283286	0.230339042650562	0.396606761897986	0.243112026202034	0.0837123488384383	0.0844573559125954	0.352575389347261	0.0659696900334586	233.188782083083	12.5662231132607	1.58948998711471	0.345699569093222	0.00280522331615252	1.96767628736057	68.1567625711469	-23766.8480071347
ACT	74913.3419655609	21073.2587736177	119372.210424608	77362.6005126933	3427.8592170857	5027.26760159049	3186.82620688484	3401.59632776979	101436.452636244	14206.3938800596	5007.12284165528	4674.9962515484	12477.0794720799	88228.6595471891	7725.4988988087	3472.42588588393	5435.14226355349	7292.96620428995	87355.8780047544	39098.5458216251	31867.0583970426	20079.1655668979	26873.3427355103	44734.4864428463	22291.1552127331	5290.78615206158	191125.018286688	45878.5244291574	11519.8638903632	29318.5524363167	62406.7141034798	45374.5860336635	21073.2587736177
