trace	posterior	likelihood	prior	pi_0	pi_1	pi_2	pi_3	pi_4	pi_5	pi_6	pi_7	pi_8	pi_9	pi_10	pi_11	pi_12	pi_13	pi_14	pi_15	rates_0	rates_1	rates_2	rates_3	rates_4	rates_5	NInfinity	b	t50	delta	epsilon	treeheight	treelength	D.treeLikelihood
mean	-22839.4166836299	-22812.3159847418	-27.1006988881146	0.236905073524972	0.0113283889406836	0.0238980826719645	0.0130616566983867	0.0114167380121792	0.175291306841611	0.00820235130238488	0.0129745481271958	0.0238236004986297	0.00820219412445485	0.175716020590275	0.0289090025075184	0.012955685334813	0.0130722344498394	0.0285758276006643	0.215667288774428	0.0763495852137336	0.340443799105193	0.20721020543359	0.0960964650194462	0.270901882710726	0.00899806251731162	137.91527360373	4.86466404451849	1.47394612998807	0.361524082679736	0.001353240476885	2.02977148871698	64.2307621142354	-22812.3159847418
stderr.of.mean	0.195670832600649	0.131682498215579	0.207676124988527	0.000493471265096739	5.64302821708837e-05	0.000102769013957302	7.56636929040235e-05	7.2948964477987e-05	0.000350591469034794	5.33858456510128e-05	7.23259989101606e-05	0.000104608273726772	5.19116664165918e-05	0.000496730494319135	0.000129098927618547	7.03371245539914e-05	7.85038921749593e-05	0.000131000835471859	0.000466458105056499	0.000481099335025856	0.000917175060843741	0.000808969102844766	0.000591216964392063	0.00100218277179627	0.000134435994702241	0.355707681935254	0.0437946923107974	0.00253390586032317	6.75599525691074e-05	9.52752801964542e-06	0.00291406509329075	0.0843501407733673	0.131682498215579
stdev	8.46534585715738	6.50828134212786	7.01551090236567	0.00876455652192803	0.00454427770847237	0.010138674573174	0.00525674611170341	0.0045634242196596	0.00766978295913043	0.00328664277897442	0.00523369970495343	0.0101177916538499	0.00328573499779984	0.00818906312104486	0.0119538342149262	0.00521983779488113	0.00523666184076929	0.0119478148810067	0.00856754275936816	0.0177956138774315	0.0262723446395349	0.0228172517207645	0.0208314739175606	0.0272808456149058	0.00451324126150538	34.3809360601439	1.21245633724121	0.109150421629661	0.00441065270078747	0.000431963960442259	0.107496360781674	3.44885744087607	6.50828134212786
variance	71.6620804812916	42.3577260282896	49.2173932212115	7.68174510260712e-05	2.06504598917189e-05	0.000102792722100724	2.76333796829089e-05	2.08248406085758e-05	5.88255706401676e-05	1.08020207565847e-05	2.73916126016297e-05	0.000102369707950714	1.07960544757667e-05	6.7060754800457e-05	0.000142894152437941	2.72467066048695e-05	2.74226272345692e-05	0.000142750280430805	7.34027889336017e-05	0.000316683873274633	0.000690236092858499	0.000520626976088732	0.000433950305578007	0.000744244537464325	2.03693466845547e-05	1182.0487643717	1.47005036971637	0.0119138145419328	1.94538572469638e-05	1.86592863120961e-07	0.0115554675813038	11.8946176474863	42.3577260282896
median	-22839.1471117387	-22811.9371655496	-27.285120768557	0.236763323044464	0.0111538885532323	0.0236635168366594	0.0130280941094075	0.0112430840548244	0.174907932093613	0.00805925535906673	0.0127634381865246	0.0236384541629803	0.00804371348874353	0.175669823650089	0.0286806000113402	0.0129265744352304	0.0129052892261039	0.0282066045559181	0.215380020024519	0.075600611880685	0.340108828191218	0.206508211701259	0.0948922810780457	0.270094308697156	0.00859389279572543	133.228945334285	4.67898690218919	1.47342658148775	0.361521091477121	0.00134728973420362	2.02593999481221	64.1439840475689	-22811.9371655496
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.236742883650634	0.0102761074257518	0.0213192862637692	0.0117992558171886	0.0103573527565673	0.175123721381899	0.00745457338816562	0.0117406829541705	0.0212348613283477	0.00744912518258791	0.175524939690919	0.0259994878277795	0.0117022040916682	0.0118424986609977	0.0256441885389531	0.215497137185399	0.0742237677689196	0.339428925787703	0.205957201660764	0.0938199859522171	0.269529305355437	0.00773445043505717	133.884395936573	4.7264075725063	1.46988187896988	0.361497171648576	0.00127464483685131	2.02693266559369	64.1382783061765	NaN
HPD95.lower	-22878.7852384002	-22849.8710163914	-54.3590009130904	0.203815397026929	0.000301455461524443	0.000156887430772405	0.000177488112636723	0.000372939735583139	0.148562451534093	0.000245165957118921	0.000321337229034935	0.000172965556305443	0.000131260041337577	0.145423197637795	0.000818654055621176	0.000314862347139885	0.000285898648018104	0.000405795486834309	0.190395931060312	0.0216571326109731	0.244311163851428	0.141163166528699	0.0344482782522181	0.180592133205504	5.27908211891553e-05	52.2467672542163	2.10584132739847	1.0469542131214	0.342652468354026	2.03642095483534e-05	1.65732951869361	49.959942274188	-22849.8710163914
HPD95.upper	-22825.9932448598	-22802.1963554232	-15.1348123822316	0.251881605589482	0.0191610064942587	0.0405210570959333	0.0216949854580293	0.019279243208653	0.188514186705286	0.0138874070619313	0.0219234038440962	0.0404315981851009	0.013854221827699	0.189695529744062	0.0483903355390025	0.0215370722604926	0.0219793154025445	0.0481797116770675	0.229820481487672	0.107132039615931	0.384818221223539	0.245658365666786	0.132164187115483	0.316803279926694	0.0168390197240124	200.94039588336	7.13076089683248	1.65351955456543	0.368763605154562	0.00208011999708893	2.21110710567662	70.0497098613396	-22802.1963554232
ACT	19396.7609885936	14862.4332833907	31814.1977685589	115088.064399906	5598.36431139358	3730.16852326049	7521.55273028798	9277.33026774081	75858.2780778882	9578.8569214904	6933.26373896673	3880.85169862528	9062.15141367467	133579.449030801	4234.45238211744	6592.06749681416	8159.05309385705	4364.53119115081	107616.575194813	26534.4448597182	44245.9220712403	45635.5872206044	29242.8850214054	48994.1977022817	32212.2062148154	3886.13189303306	47367.1422863315	19565.7525801851	8518.0343694811	17661.6746981813	26679.4833121082	21716.3872778986	14862.4332833907
ESS	1871.7558061034	2442.80322795953	1141.1886059211	315.462773566549	6485.10850323039	9733.072319281	4826.9288672008	3913.41031872536	478.603007080156	3790.22260146162	5236.49486978995	9355.16294344892	4006.33341274951	271.793305507859	8573.95401429574	5507.52855876341	4449.78106924378	8318.41918637477	337.364387728164	1368.2592642108	820.550195372665	795.563335790887	1241.5327685153	741.026523602186	1127.08827696818	9342.45182596305	766.480692048772	1855.58924202937	4262.25094020273	2055.63745343688	1360.82095651091	1671.82503864027	2442.80322795953
n.samples	36306	36306	36306	36306	36306	36306	36306	36306	36306	36306	36306	36306	36306	36306	36306	36306	36306	36306	36306	36306	36306	36306	36306	36306	36306	36306	36306	36306	36306	36306	36306	36306	36306
chain.length	40339000	40339000	40339000	40339000	40339000	40339000	40339000	40339000	40339000	40339000	40339000	40339000	40339000	40339000	40339000	40339000	40339000	40339000	40339000	40339000	40339000	40339000	40339000	40339000	40339000	40339000	40339000	40339000	40339000	40339000	40339000	40339000	40339000
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
