trace	posterior	likelihood	prior	pi_0	pi_1	pi_2	pi_3	pi_4	pi_5	pi_6	pi_7	pi_8	pi_9	pi_10	pi_11	pi_12	pi_13	pi_14	pi_15	rates_0	rates_1	rates_2	rates_3	rates_4	rates_5	NInfinity	b	t50	delta	epsilon	treeheight	treelength	D.treeLikelihood
mean	-24499.1982233967	-24492.9627924721	-6.23543092452149	0.210773134088735	0.0247007318518673	0.015335205715649	0.0310707617300178	0.0247004762891922	0.231279047907368	0.0214635199546201	0.0150710439738735	0.0153807981910784	0.0214915337362296	0.205037870945523	0.0167205313106126	0.0310322473956615	0.0150677349011855	0.0167368924109264	0.10413846959746	0.123017873866983	0.159365490906155	0.0199850270233075	0.214422797809348	0.406279095499077	0.0769297148951292	153.833517926804	7.80610762283943	1.36326770208104	0.237460800260337	0.00270774590415955	1.72856982380349	59.2928801240176	-24492.9627924721
stderr.of.mean	0.455998985972159	0.164920012407277	0.524999476946248	0.000461080509477455	9.55281485444131e-05	7.71578470689916e-05	0.000115977808313483	9.92674609225606e-05	0.000517676344301064	8.49293486869672e-05	6.82072134988419e-05	6.94701448780954e-05	8.42276934720081e-05	0.000445109508816554	7.70947108606396e-05	0.00011252023746752	7.12266254887331e-05	7.38082806031002e-05	0.000337121491761075	0.000506396808859086	0.000638619669465428	0.000253493620913663	0.000663004033905943	0.00118749953130121	0.000428841537804003	0.502196930876115	0.147906678306008	0.00391358435331538	6.20208619574636e-05	1.98620698096566e-05	0.00519110768697734	0.16292691237949	0.164920012407277
stdev	10.0071729002301	6.30505036955257	9.2276552694194	0.00902766108474164	0.00853714905726705	0.00596292443257944	0.0101641470249276	0.00853115897492825	0.00887894040619776	0.00743154067973155	0.00597380797008067	0.00596233400183113	0.00744000349975068	0.00864935081471054	0.00633479517766529	0.010169372925452	0.00598421223191498	0.00629346226872262	0.0066706136493977	0.0148824459323603	0.019968443657879	0.00789556595103339	0.0201495348924334	0.029522273979832	0.0165592386178314	38.7325799575281	2.22446952179327	0.0996521711853566	0.00344883777425115	0.000613861983855672	0.112593480115319	3.94768132192379	6.30505036955257
variance	100.1435094551	39.753660162595	85.1496217712436	8.14986646609586e-05	7.28829140259957e-05	3.55564677886528e-05	0.000103309884744345	7.27806734554988e-05	7.88355827368113e-05	5.52277968745048e-05	3.56863816633993e-05	3.55494267493917e-05	5.53536520763023e-05	7.48112695159339e-05	4.01296299429715e-05	0.000103416145696915	3.58107960366009e-05	3.96076673278353e-05	4.44970864595309e-05	0.000221487196929627	0.000398738742117886	6.23399616871178e-05	0.000406003756381392	0.000871564660940268	0.000274208383602277	1500.2127501663	4.94826465338719	0.00993055522195562	1.18944819931016e-05	3.76826535223221e-07	0.0126772917644787	15.584187819466	39.753660162595
median	-24498.9340497776	-24492.6920339156	-6.5060726633277	0.210490404491294	0.0245803287551444	0.0151029973035718	0.0309078521104856	0.0245074986316653	0.231271571030991	0.0212997407317157	0.0149238794873185	0.0151945905611303	0.0213872728046277	0.205082603454112	0.0165135384381056	0.0308363937520141	0.0149569880063466	0.0165502963345104	0.103895264153444	0.123069907336332	0.159018559095519	0.0192665814913549	0.213634384633028	0.405117568482251	0.0756701594129445	148.571422523497	7.42186439734125	1.36084634917231	0.237443812380803	0.00271598089479001	1.72415335211951	59.1441175933766	-24492.6920339156
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.21057967968962	0.0230129517666374	0.0139973807876854	0.0291895299286821	0.0230173859922264	0.23110881277087	0.0199963314847207	0.0136680644375235	0.0140341516249705	0.0200126379461105	0.204855999119633	0.0153350469582521	0.029119752498697	0.0136625720215302	0.0153611662683634	0.103924626183241	0.122109568713867	0.158105513119069	0.0183243276448854	0.213478375021587	0.40520665499487	0.0751215485406532	149.223472641961	7.50832936685414	1.35963231877751	0.237435749432439	0.00263168743780327	1.72491713783715	59.1618987524887	NaN
HPD95.lower	-24545.7566038558	-24521.8633132854	-41.5747942911304	0.180463582876175	0.00152131259125399	0.000311187596302283	0.00165040130787801	0.000772894038501538	0.201593931034178	0.000562540441284613	0.00046752270212469	0.000467778391571465	0.000469584170505646	0.177412177628176	0.000418314006322439	0.00141224622075686	0.000371188641580936	0.000906184816894903	0.0804856921541277	0.0723580686503322	0.0882300989558145	0.00146352793558665	0.146385187274077	0.308849748499128	0.0237101364336929	53.9754124553557	3.00456184698737	1.02365061557814	0.222777654104329	0.000167955861348762	1.36666826627336	46.2582917618859	-24521.8633132854
HPD95.upper	-24483.0789628881	-24483.0636797501	9.37308452913114	0.226202260606205	0.0390044998823786	0.0255444182428947	0.0482055728813004	0.0390563268226262	0.245997653347667	0.0340797010871916	0.025068176259208	0.025388563929091	0.0340459967939698	0.220409641398921	0.0275201152925995	0.0480602156184662	0.0250730672389068	0.027331353072256	0.115445432901475	0.147588993199458	0.19254311332018	0.0341151816126079	0.249538590539305	0.455564514336693	0.105123527942346	224.474613103933	12.0489755946807	1.53073389673819	0.243095849548244	0.00370542615539259	1.91977686291454	66.0628696732846	-24483.0636797501
ACT	60951.8695604878	20084.0679024968	95020.4542939742	76574.6675477146	3675.52242768855	4915.00173036411	3821.99400958769	3974.47565811313	99787.5688475165	3833.89268603417	3826.83892878717	3985.16118281919	3762.23241052795	77740.7639220507	4347.76535219762	3593.80920435485	4158.65456537723	4037.50427623423	74976.1936603498	33987.1992680525	30024.6691889652	30258.6552326843	31782.2305739492	47495.1611154814	19687.7028067684	4934.88845399998	129779.092312946	45274.947093922	9493.18941781388	30731.9144108744	62398.7191385681	50001.5612707335	20084.0679024968
