trace	posterior	likelihood	prior	pi_0	pi_1	pi_2	pi_3	pi_4	pi_5	pi_6	pi_7	pi_8	pi_9	pi_10	pi_11	pi_12	pi_13	pi_14	pi_15	rates_0	rates_1	rates_2	rates_3	rates_4	rates_5	NInfinity	b	t50	delta	epsilon	treeheight	treelength	D.treeLikelihood
mean	-16103.2722745291	-16078.1397748343	-25.1324996947736	0.170788690947086	0.0128730403663287	0.0114428015519406	0.0250024123774942	0.0127232526166805	0.23450872350411	0.0229471054756409	0.0287104838071325	0.0113676546326792	0.0230556996230498	0.159640812378918	0.0227162584923824	0.024953200525339	0.0285176759405346	0.0227482651907833	0.188003922569899	0.017459852814732	0.139359481304163	0.473935917379402	0.170521547668027	0.183534501762599	0.015188699071077	109.171925235523	6.12502660761756	1.26123521203662	0.0712471647212193	0.00126823974008992	1.70073556652277	52.1458405901567	-16078.1397748343
stderr.of.mean	0.169930879708744	0.110117521843289	0.16587495222928	0.000366392929763889	6.52873656589277e-05	6.38070694481399e-05	7.96578754720709e-05	6.88456952069228e-05	0.000628906029817674	8.5020514581592e-05	0.000106693786559464	5.4926270155303e-05	8.40102254075339e-05	0.000400693027904579	7.95525016051881e-05	7.7883791017718e-05	0.000113764859373225	7.9271144268027e-05	0.000371255405635356	0.000290809242937571	0.000571952060359926	0.000956981601987712	0.000494791414271977	0.000444363744249761	0.000189296914739462	0.23190229047369	0.0452836612946377	0.00159639003911761	3.43979141343616e-05	6.31973323399373e-06	0.00239200278258066	0.0674336126233821	0.110117521843289
stdev	7.85195428891373	6.11155627270042	6.25369868320744	0.00779091908143778	0.00573720449092705	0.00424183354932036	0.00905663497804811	0.00572921391943902	0.00916397535857674	0.0085447584138555	0.0125236138979808	0.00422932715881707	0.00853391475196525	0.00756101003124832	0.00836855842604999	0.00904699039731211	0.0125427539241573	0.00836436427127434	0.00815988421425753	0.0111342593762792	0.0223842907083388	0.0269994393758709	0.0177167247756665	0.0159353300539376	0.00760371154151617	26.5520009794834	1.37510776928069	0.080702398917038	0.00233974993420916	0.000307475952853288	0.0814717825547296	2.49083723354572	6.11155627270042
variance	61.6531861551908	37.3511200743839	39.1087472203504	6.06984201335114e-05	3.29155153707135e-05	1.79931518601397e-05	8.20226371256045e-05	3.28238921346939e-05	8.39784443726017e-05	7.30128963511544e-05	0.000156840905065699	1.78872082163077e-05	7.28277009938102e-05	5.71688726926378e-05	7.00327701302124e-05	8.18480352490574e-05	0.000157320676001964	6.99625896625707e-05	6.65837103900893e-05	0.000123971731858261	0.000501056470515424	0.000728969726611326	0.000313882336776716	0.000253934743927926	5.78164292065862e-05	705.008756014488	1.89092137713611	0.00651287719096474	5.47442975463175e-06	9.45414615830376e-08	0.00663765135264514	6.20427012401767	37.3511200743839
median	-16102.9761894588	-16077.7615049368	-25.315575421101	0.170744500032443	0.0125549182325895	0.0113100525210552	0.0248924820564152	0.0123466000195799	0.234166009059246	0.0227596860993013	0.0285065271287492	0.0111803511432123	0.0229170588736222	0.159290671709237	0.0225861274998054	0.0248628133017433	0.0280777103667789	0.0225713619714849	0.187481467521187	0.0160200841705557	0.138553377970739	0.473448365447552	0.169924432490204	0.183484837203476	0.0145042577937814	105.723257132029	5.91189179599944	1.26101535442223	0.0712505032447284	0.00127090011293644	1.69880759903704	52.0728496787646	-16077.7615049368
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.170611009670128	0.0113888550845246	0.0105411117418313	0.0230824440994771	0.0112365741136231	0.234329666309061	0.0210852873220734	0.0254262468517398	0.0104739494175609	0.0212032234120594	0.159461893635472	0.0209181632907409	0.023024448523469	0.0252430193904515	0.0209668105734692	0.187827167721683	0.01282515301478	0.137544842238281	0.473166835978937	0.169598996199312	0.182838755999522	0.0130628360388396	106.111760160496	5.98325960690861	1.25864271017159	0.0712087279448424	0.00122726564138599	1.69878785461155	52.0864809533696	NaN
HPD95.lower	-16140.7586175618	-16108.4536518802	-50.1241484670582	0.148109941446759	0.000240513197488502	0.000417353178622355	0.000949534231053817	0.000439386191986992	0.206728434416333	0.000909416049520481	0.00080265497645212	0.000310822293378712	0.000608487499738429	0.136423887032477	0.00101743285713871	0.000424787464046165	0.00064351040089343	0.000414688082732637	0.161737711214422	9.56168359747544e-06	0.0637495794522885	0.382923778903212	0.110134864422445	0.120657126293613	0.000321221349903263	43.8654879471034	2.8689669983226	0.941828057775077	0.0627311417419555	0.000123220448351378	1.43391161181253	43.692893021084	-16108.4536518802
HPD95.upper	-16090.9498975942	-16068.7612882057	-14.6137955584328	0.184369316582938	0.02261397604304	0.0185778691243072	0.0401532680573261	0.0225002252186499	0.25002575970667	0.0372813919652965	0.0490266698954162	0.0186499169934303	0.0372610877190762	0.172316701673661	0.0366979731940618	0.0400526221732208	0.0489639558819285	0.0369324304109399	0.201892570539073	0.0385359749028227	0.177285018432128	0.518482050126902	0.200382623786699	0.210117600405377	0.0294275866102843	157.456556191008	8.67122621228356	1.39503755298517	0.0751117464508873	0.0017729600451653	1.83735019614403	56.3373717732173	-16068.7612882057
ACT	17788.6932524105	12330.0315715757	26720.3829087305	83998.540834304	4918.27254169178	8593.80138020139	2938.18184193341	5484.26539380121	178878.709065005	3760.12983953693	2756.60079666354	6405.7887878571	3680.6342198339	106664.254685166	3432.11109340221	2814.75673504276	3124.53522295121	3411.2954739771	78619.9094386581	25908.8838146678	24796.3377275975	47714.749075354	29623.2288072701	29533.1702538698	23539.1494187658	2897.14695900795	41187.4168527108	14861.4125274474	8208.81160802107	16044.646048858	32738.8849773967	27836.6594007898	12330.0315715757
