trace	posterior	likelihood	prior	pi_0	pi_1	pi_2	pi_3	pi_4	pi_5	pi_6	pi_7	pi_8	pi_9	pi_10	pi_11	pi_12	pi_13	pi_14	pi_15	rates_0	rates_1	rates_2	rates_3	rates_4	rates_5	N0	b	f0	delta	epsilon	treeheight	treelength	D.treeLikelihood
mean	-17883.9003218307	-17785.9145030359	-97.9858187948168	0.204580385092888	0.026156247332225	0.00898891443039151	0.0101991609696129	0.0252484345454572	0.166687621399639	0.0191230249645791	0.0369817827613204	0.00875153801590803	0.0189624562098419	0.171395994132244	0.0148365262134495	0.0105121019618062	0.0372717022963292	0.0147292390267785	0.225574870647529	0.314480527429065	0.0675529379153975	0.0422588878815229	0.240863740337051	0.152819033757936	0.182024872679028	3409.94369716366	0.354609980186098	0.788367254421669	0.0854078198063794	0.00156425508195695	10.6601330949536	344.374908878565	-17785.9145030359
stderr.of.mean	0.260798597212584	0.203387711701134	0.113592176391066	0.00148917495450982	0.000247260067187006	0.000131977848288237	0.000172517948471154	0.000289115912438303	0.000695608466998801	0.000152953064883834	0.000299840261914284	0.000177333406405534	0.000185958770436174	0.000982625047956512	0.00016401533226349	0.000180465769895703	0.000263310120797975	0.000167127561007716	0.00111501824913488	0.00186905957586457	0.00102297715371879	0.000561878349312248	0.00112070194280749	0.000833590118596925	0.00103154383707166	28.1010036163144	0.00116302860900079	0.00213645435024165	0.000756497189027532	4.52391248538072e-05	0.0122297297369456	0.449629394609871	0.203387711701134
stdev	6.53855399470981	5.91321451956695	3.05201117161318	0.0100474857629651	0.0125240226096782	0.00373621680340575	0.00469255665618455	0.0125591101500329	0.00613122284579978	0.00542325768545506	0.010135006682744	0.0038259604802545	0.00547864833939401	0.00817912041720156	0.0048521770903532	0.00474757678762946	0.0101013906319294	0.00484408671858928	0.00927927447558671	0.0160332763964568	0.0111870122548543	0.00767237324271494	0.0124837978503202	0.00846835530005305	0.0110473621181895	1276.25526238259	0.0327514628218304	0.0600257114087537	0.00766573158788259	0.000876064488153283	0.326346167153147	10.2114799514823	5.91321451956695
variance	42.7526883417356	34.9661059544174	9.31477219165165	0.000100951970156986	0.00015685114232773	1.39593160020515e-05	2.20200879715019e-05	0.00015773124776066	3.75918935848572e-05	2.94117239228474e-05	0.000102718360459266	1.46379735964692e-05	3.00155876267448e-05	6.68980107990835e-05	2.35436225161485e-05	2.25394853544381e-05	0.000102038092698831	2.34651761372131e-05	8.6104934793275e-05	0.000257065952005179	0.000125149243190261	5.88653111755281e-05	0.000155845208767659	7.17130414879366e-05	0.000122044209770409	1628827.49475925	0.00107265831696974	0.00360308603012699	5.8763440777461e-05	7.67488987403274e-07	0.106501820815549	104.274322799526	34.9661059544174
median	-17883.5778151544	-17785.6060359939	-97.8896515307618	0.204060485075257	0.0265215172629031	0.00891677780996293	0.00993691045133591	0.0245566481287088	0.166697026853085	0.0190416300032951	0.0368136585373662	0.00862368478763915	0.0188851977292899	0.171649801980963	0.0146640101176475	0.0103055918798584	0.0370325612689723	0.0146238753868108	0.22477522846073	0.314570702494473	0.0682509153542005	0.0422520666105302	0.240677120653551	0.153131149615568	0.181814506235221	3173.43045508795	0.353284873632763	0.793561391171613	0.0855505581548516	0.0014372713137407	10.6624367185298	344.561104622931	-17785.6060359939
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.204335961185282	0.0224268086344157	0.008091198915205	0.00897970038472277	0.0214536440679353	0.166574118484968	0.0182715667700129	0.0354806706517895	0.00777652216342362	0.0180873781618585	0.171200168766764	0.0139502770428455	0.00928080654413352	0.0357806779517481	0.0138300247514517	0.225385511758669	0.314071192222065	0.0665785634230251	0.0415531951720865	0.240539827545493	0.152582392213043	0.181689623199297	3196.67672740058	0.353106191979155	0.786008985816245	0.0850589067471619	0.00129688699052552	10.6551266928383	344.222967761441	NaN
HPD95.lower	-17920.4775799478	-17819.3395505694	-114.56544567242	0.180039549867174	0.000343893859287965	0.000475874097950187	0.000364525647133847	0.000617067808107878	0.146127704549239	0.00137497827394064	0.00284042403103583	0.00047407577759765	0.00137497827394064	0.146170000258069	0.000517404439450902	0.000596670511354615	0.00534390042810459	0.000849542447012831	0.20193010074823	0.268438293241802	0.0323850278606801	0.0184022714685345	0.198859148864071	0.125613356594353	0.148716827369486	867.439050419898	0.241156781461444	0.509797288519065	0.05801320509752	1.2958912149224e-05	9.22993312892436	296.459631706226	-17819.3395505694
HPD95.upper	-17873.7647942784	-17776.7308341068	-93.1654309713362	0.221372082525407	0.0452352970715168	0.0151568408206504	0.0182502101645475	0.0448281400237767	0.176766458594807	0.0281474792318614	0.0539844145023572	0.0151069384875969	0.0281474792318614	0.185370534939834	0.0231534279009402	0.0185964660230985	0.0540973151814513	0.0229810050327729	0.239398060540187	0.340911480798496	0.0858877221413149	0.0546663722746805	0.261616077947778	0.166354070721501	0.200618591673443	5798.71943947074	0.410493352942551	0.877633376664272	0.098001352572184	0.00318165106032934	11.1919727600702	360.812838195474	-17776.7308341068
ACT	14318.2381843181	10647.4267360108	12467.1479271468	197705.684918808	3508.02588488831	11230.0181403404	12164.4374543761	4769.45505733867	115845.195291263	7158.76978318401	7877.24453803386	19334.9326220837	10368.8117837636	129898.748243349	10283.4329237811	13004.3362699291	6115.2650039872	10713.0921726084	129950.638585547	122305.0078552	75256.869894084	48268.9288095219	72531.9417228217	87206.6257666934	78469.4678021858	4363.25986649072	11349.1124937872	11401.3194154786	87649.5981902864	23999.3095117767	12639.1886493068	17449.1599024683	10647.4267360108
