trace	posterior	likelihood	prior	pi_0	pi_1	pi_2	pi_3	pi_4	pi_5	pi_6	pi_7	pi_8	pi_9	pi_10	pi_11	pi_12	pi_13	pi_14	pi_15	rates_0	rates_1	rates_2	rates_3	rates_4	rates_5	N0	b	f0	delta	epsilon	treeheight	treelength	D.treeLikelihood
mean	-16623.0488077486	-16544.6720549529	-78.3767527956851	0.18350330439835	0.0267997508932772	0.0178543247500085	0.0101945127142511	0.0265740922011881	0.174424626577803	0.0131771938879906	0.033920461043909	0.0178105590215797	0.013163676897188	0.170464243754377	0.0130786216532726	0.0101928464645779	0.0339814050119093	0.0130565043325527	0.241803876397765	0.288236217471869	0.150222673764396	0.173215062904811	0.0574855450494754	0.321925087430908	0.00891541337854127	2967.7482379855	0.470751132902805	0.664229392299343	0.265560535051744	0.00199258581073906	6.87220800323613	226.097314684565	-16544.6720549529
stderr.of.mean	0.277750238943247	0.212082832082294	0.180645358249077	0.00103838150352553	0.000298174410927936	0.0002515854820376	0.000126988538534815	0.000234127456112077	0.000808829254621954	0.000151434943232752	0.000204166014607988	0.000230699690055275	0.000139822667180396	0.00116273272478265	0.000155238166337114	0.000137053813761178	0.000196504001547674	0.000147160788093371	0.000980348137552707	0.00131698017026891	0.00143407135666863	0.00154048111249687	0.000701850801921722	0.00134586262468119	0.000522855120550787	24.8696811650535	0.00115919951951405	0.00206448284014312	0.000572681915844109	4.02209839634833e-05	0.0100718887282427	0.396969060208061	0.212082832082294
stdev	6.67766624052812	5.78383942047958	4.04556177302916	0.00932070169518969	0.00809842579425958	0.00648557886977177	0.00345265587658642	0.00809396246134009	0.00825862162713949	0.00477016613704073	0.0114326331501904	0.00647038608296449	0.00476993257573099	0.0117104156049923	0.00499565204871784	0.00349788258075299	0.0114385151924671	0.00497246874260038	0.0111828969013583	0.0178789391824122	0.0173136933579506	0.0189105019578039	0.0114448626553912	0.0187780493779267	0.00684362174711787	1182.80730201794	0.0436058861181416	0.0742648721199043	0.0073291593212105	0.000817862229147858	0.275057103225071	9.00764850720976	5.78383942047958
variance	44.591226419889	33.4527984418936	16.3665700593949	8.6875480090712e-05	6.55845003451289e-05	4.20627332760301e-05	1.19208326021268e-05	6.55122283255826e-05	6.82048311802562e-05	2.27544849749701e-05	0.000130705100746833	4.18658960626206e-05	2.27522567770197e-05	0.000137133833641648	2.49565393918587e-05	1.22351825487352e-05	0.000130839629808302	2.47254453961378e-05	0.000125057183106409	0.000319656466288396	0.000299763977693142	0.000357607084296105	0.000130984881200767	0.000352615138439854	4.68351586176247e-05	1399033.11370695	0.00190147330414834	0.00551527123098574	5.37165763556868e-05	6.68898625866703e-07	0.0756564100345674	81.1377316294382	33.4527984418936
median	-16622.6638282842	-16544.3506571044	-78.3153594328721	0.182464642142134	0.0265429839116294	0.0175171066226559	0.0100747743467417	0.0263726957048412	0.174412612549154	0.0128997977117439	0.0339100111135822	0.0175358521909779	0.0128760193789376	0.170581061676377	0.0127862381952808	0.0100683518499848	0.0338208635397268	0.0127644086643335	0.240612224146689	0.288689031743525	0.148839435010837	0.172188626389619	0.0577665041235993	0.321074864915855	0.00769619904773868	2742.90823127908	0.469410365909594	0.668568450172546	0.265628677657969	0.00197659680757384	6.86722626217511	225.999819863888	-16544.3506571044
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.183266676421442	0.0254502027085306	0.0165314080267738	0.00953754010351589	0.0252054415473679	0.174228911075801	0.0122272073410789	0.0316980918527571	0.0164900816924615	0.0122177249891212	0.170056960517027	0.0120273363730383	0.00952162807857852	0.0317674199314229	0.0120067248469371	0.24154963743797	0.28767824899739	0.149234994012772	0.172182062352336	0.0562784722428884	0.321376770373271	0.00566493671614447	2760.66617811638	0.468739538906045	0.659909615330595	0.265459209750714	0.00178518031185713	6.8667089605638	225.917860353694	NaN
HPD95.lower	-16658.5566126321	-16572.9202673308	-95.5561985482238	0.156970497660655	0.00274049659342628	0.000432205585941842	0.000660831685024198	0.000819709896094388	0.151118114361693	0.000295069596709462	0.00051809027704753	0.000827086707434893	0.000854341594280557	0.135683174613281	0.000277170251302146	0.000264309785477604	0.000994924990346431	0.000381002126167942	0.207936325642251	0.228430556903617	0.106001662484076	0.113516804296949	0.0222182263738955	0.256671430903114	2.40842914397688e-05	652.25427076781	0.323115415579157	0.336364785780881	0.232006288629682	1.40455947584373e-05	5.83952317619906	187.808817526717	-16572.9202673308
HPD95.upper	-16612.7071721698	-16535.7152714638	-71.8551490720061	0.199023873108672	0.0404340784912982	0.0290460465899808	0.0160470386455471	0.0400478277288066	0.187655858480328	0.0215451441875829	0.0529485716923209	0.0289165517543476	0.021577610458106	0.186758312244958	0.0218332751774322	0.0161139211197934	0.0528617403946361	0.0217117841979516	0.262362741025821	0.318509665428767	0.180031017766779	0.204630091808764	0.0762077111402791	0.352994062578152	0.0216932910141831	5197.95586766843	0.544761901525632	0.779642008112162	0.277596408423168	0.00338122649315914	7.33295716951543	241.173673309854	-16535.7152714638
ACT	15570.4790550878	12100.9950671118	17944.7928313842	111701.544675721	12200.623770562	13543.0403236093	12174.8878705891	7530.51764377332	86325.8916645227	9070.42626931402	2870.23116541195	11441.3202132065	7733.4484231451	88727.3853498315	8690.70792056061	13817.0174498097	2656.10965182723	7882.83789527775	69166.2967396265	48833.4589293849	61745.3973099415	59724.0363988848	33846.2797556073	46232.0361818261	52533.1260978365	3978.82603066215	6360.16908914638	6955.01689109445	54949.1682177363	21766.449195877	12067.5364117469	17479.6593915694	12100.9950671118
