trace	posterior	likelihood	prior	pi_0	pi_1	pi_2	pi_3	pi_4	pi_5	pi_6	pi_7	pi_8	pi_9	pi_10	pi_11	pi_12	pi_13	pi_14	pi_15	rates_0	rates_1	rates_2	rates_3	rates_4	rates_5	N0	b	f0	delta	epsilon	treeheight	treelength	D.treeLikelihood
mean	-18617.1598739112	-18554.1054348684	-63.0544390427891	0.182719658441404	0.0129935212158757	0.00965514268525955	0.0276930589553581	0.0130264593368297	0.159665918727442	0.029365399794178	0.0217002420595051	0.00970000549638713	0.0294841067916467	0.215750190108622	0.0229630016922001	0.0275372014646866	0.0217322149593904	0.0229084706061164	0.193105407665098	0.154786370589905	0.321011728406103	0.0268565284908153	0.0671881625075711	0.251435726885076	0.178721483120531	6095.78955640416	0.556516022147821	0.762998327841334	0.386682291457893	0.0023566663089492	6.70830784475338	235.373816458667	-18554.1054348684
stderr.of.mean	0.285976366549008	0.251058674603124	0.113096479491653	0.00096862608469915	0.00014798634648391	0.000138461876250532	0.000304787671206133	0.000226272519693888	0.000906085804598109	0.000337775418343758	0.000180028403157098	0.000112509152105	0.000269418269674121	0.000989174940908871	0.000217051811130273	0.000285426403765266	0.000160931659164504	0.000231094572343531	0.00105415942765238	0.00140286560553859	0.00164023295270042	0.000540159897821301	0.000753025732639224	0.00133617239279108	0.00141792153651906	51.3034794057582	0.00218194026183732	0.00291263930036348	0.000429933431350952	7.31542022074554e-05	0.015367102453151	0.569016925669678	0.251058674603124
stdev	7.95702239583945	6.85530288249904	3.56901294543088	0.00971480920506956	0.00544558196228117	0.00366779582952862	0.0114590945933486	0.00558029976898099	0.0094971154024162	0.0079745857228167	0.00712308983000751	0.00366147661277336	0.00796526459922716	0.0102845153848444	0.00767481728112269	0.011482540169367	0.00709372166391046	0.00768517457852156	0.00985256663135178	0.017517743776568	0.0218474225830281	0.00710361413014968	0.00873108636885343	0.0168548646527155	0.0151270049740748	2578.66598662556	0.0538777673080659	0.0653673631832587	0.0067103071362028	0.00141233942746041	0.336245821943985	11.8865027249104	6.85530288249904
variance	63.3142054078906	46.9951776107997	12.7378534046532	9.43775178909042e-05	2.9654362907922e-05	1.34527262471075e-05	0.000131310848899312	3.11397455116892e-05	9.0195200966811e-05	6.35940174505519e-05	5.07384087263565e-05	1.34064109858863e-05	6.34454401357013e-05	0.000105771256701101	5.89028202986194e-05	0.000131848728741127	5.03208870450326e-05	5.90619083023541e-05	9.70730692252266e-05	0.000306871347021486	0.000477309873521406	5.04613337100622e-05	7.62318691803782e-05	0.000284086462461359	0.000228826279485685	6649518.27057956	0.00290281381010209	0.00427289216953204	4.50282218621742e-05	1.99470265835921e-06	0.113061252774786	141.288947029303	46.9951776107997
median	-18616.78025141	-18553.7229207582	-62.921434864808	0.182393594049772	0.0129231944933332	0.00959416908478821	0.0278397316597154	0.0128842597513192	0.158961248350899	0.0291907096072943	0.0215848772061119	0.00959136325794394	0.0293432410692289	0.215827747204556	0.0229581088045068	0.0276317895321969	0.0216259791353387	0.0229170284511454	0.192359695465472	0.153856131050583	0.321760791372445	0.0268601891641013	0.0665521678324722	0.249523256549522	0.178664234354023	5579.30197117089	0.553883444701405	0.769231183279534	0.386711169912076	0.00210983778219313	6.72278681284167	236.185758839958	-18553.7229207582
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.18246252313103	0.0116204406177541	0.00883767934411921	0.0248728535385118	0.0116046398635861	0.159384884481724	0.0281925936921482	0.0203734033009843	0.00890021644562277	0.0283159452396705	0.215503910907684	0.0214839927405709	0.0246788703857246	0.0204117529118137	0.0214319317604834	0.19285393294577	0.153797580035558	0.320267861035076	0.0258823885071365	0.0666203929681967	0.25087857148545	0.178080299987216	5626.12525152335	0.553922396225356	0.760086866687726	0.386624037601018	0.00190750600539305	6.69978206994314	235.069041777805	NaN
HPD95.lower	-18659.213019159	-18589.247989355	-81.0694607777206	0.157876033187098	0.000606257953820754	0.000426166957649882	0.000689495287502798	0.000362707849469165	0.133098316193868	0.00239732822844033	0.00128995538688236	0.000497899523990562	0.00232934304319754	0.184536476155888	0.00091031147857798	0.000332156697888844	0.00129753538564787	0.000979733551907565	0.158151607272776	0.106317626391146	0.252013734381	0.0081950460869184	0.0389907060988197	0.20298896877537	0.136842520067881	1215.20277022007	0.378313605472838	0.449817547865956	0.358599260590235	2.21361518882842e-05	5.22735292993787	177.255022389748	-18589.247989355
HPD95.upper	-18604.8144762196	-18543.5571927942	-57.4156527788071	0.199292592421129	0.0218699149098661	0.015791799861087	0.0460178974538421	0.0223751893552318	0.176210151717546	0.0425092944447604	0.033617019722409	0.0159273654248572	0.0426865387343472	0.232736503110102	0.0355852615255086	0.0459733937230101	0.0336486948840312	0.0357240973486991	0.20944194577801	0.186707027356599	0.357007840303707	0.0388948352340786	0.081994392478604	0.281157322032551	0.204707524265179	10816.1277794996	0.649425987598087	0.859704188579213	0.397748983049768	0.00507947513924345	7.23502707713718	253.653840350886	-18543.5571927942
ACT	11625.232207977	12070.9007096273	9037.41936646776	89471.8214178397	6646.56426100168	12826.0411594383	6367.02700179166	14797.592943967	81921.4690752172	16146.6461811028	5748.93932970586	8497.78392385145	10296.6554385919	83257.0572296106	7198.35478560232	5561.02508236113	4632.09223747567	8137.94078206677	103028.254579405	57718.9344478014	50728.6326815194	52038.9423651133	66946.1452328537	56560.9843852208	79075.3290747763	3562.42693461227	14760.7709463266	17868.7423429955	36945.3806864831	24145.8723172082	18798.0451996403	20624.5599262837	12070.9007096273
