trace	posterior	likelihood	prior	pi_0	pi_1	pi_2	pi_3	pi_4	pi_5	pi_6	pi_7	pi_8	pi_9	pi_10	pi_11	pi_12	pi_13	pi_14	pi_15	rates_0	rates_1	rates_2	rates_3	rates_4	rates_5	N0	b	f0	delta	epsilon	treeheight	treelength	D.treeLikelihood
mean	-20853.189655422	-20765.1688591565	-88.0207962655544	0.12284885424253	0.0170943549347175	0.0213961614216646	0.0183304008584181	0.0169608475118395	0.212836324129212	0.0129212257819644	0.0377733370313669	0.0214126930799044	0.0129402766534631	0.176992679061673	0.0398140225540372	0.0184106110959439	0.0379061980122937	0.0397045999880547	0.192657413642917	0.0489475621430797	0.182538868659843	0.551167023358478	0.0102183626112054	0.160898586677239	0.0462295965501544	3445.54956534293	0.432888277118296	0.71993961294921	0.34989420554145	0.00212171024325603	8.08317184961592	263.351223341238	-20765.1688591565
stderr.of.mean	0.210709096951412	0.261055601246419	0.181950025480614	0.000639116592688076	0.00024248125347355	0.0001684805755759	0.000162465814009505	0.000274578666684015	0.00105159365923469	0.000205041391688806	0.000386879336445788	0.000160948340041435	0.000178079503689951	0.00110666372964784	0.000256930345801581	0.000167973137420777	0.000372052936311971	0.000235269877596531	0.0010643377569938	0.000723008510981524	0.00119363625312004	0.00201929529852171	0.000490279049082566	0.00122445062059592	0.000361115720395386	27.4513911666444	0.00129291736165279	0.00227228099721255	0.000262725800308944	6.36743149683859e-05	0.0164211706233549	0.592602736427487	0.261055601246419
stdev	7.43609967705522	6.73726101501002	3.85261003815929	0.00756345981808536	0.00802933488196392	0.0049889494358419	0.00775968644718441	0.00803305790927249	0.00988785243751281	0.00482264749744889	0.0145309299744578	0.00498258369316201	0.00481389907969613	0.0104975846609319	0.00911140816675775	0.00777540742272253	0.0145398307687392	0.00908876454038195	0.00933595570274559	0.00934665981867086	0.0152531001805081	0.0192724860875889	0.00575424327605964	0.0120389821000642	0.00549966648609085	1374.41184954068	0.0401432542277826	0.0688873456936766	0.00555701562535073	0.000904367223941091	0.304134716679267	9.78334031888834	6.73726101501002
variance	55.2955784071008	45.3906859843739	14.8426041061257	5.72059244197919e-05	6.44702186467225e-05	2.48896164733872e-05	6.02127337586174e-05	6.45300193737254e-05	9.77696258260281e-05	2.325792888465e-05	0.000211147925922596	2.4826140259364e-05	2.31736243494993e-05	0.000110199283713434	8.30177587812599e-05	6.04569605893286e-05	0.000211406678783576	8.26056408705043e-05	8.7160068883628e-05	8.73600497659563e-05	0.000232657065116616	0.000371428719996306	3.31113156800776e-05	0.000144937090005666	3.02463314582309e-05	1889007.93215785	0.00161148085999639	0.00474546639672011	3.08804226603921e-05	8.17880075738916e-07	0.0924979258895781	95.7137477951863	45.3906859843739
median	-20852.8577837022	-20764.8280981779	-87.9218133407547	0.122542935489597	0.0163736150842225	0.0212239649390367	0.0180890877233557	0.0162787837809286	0.212876102173173	0.0126441142688219	0.0370860946186701	0.0212397151742835	0.0126326151546957	0.176598534904905	0.0397148985461425	0.0182791219057232	0.0375398803402133	0.0395560806344222	0.193378112187686	0.0488480832676695	0.182331443784073	0.551013577088279	0.00996875572123667	0.160561915376437	0.0458906600747449	3192.80995476334	0.430916554288051	0.723694490524995	0.349983903959045	0.00209926291561448	8.08128563133264	263.359196836976	-20764.8280981779
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.122615749215879	0.0149695509297573	0.020787117236686	0.0163699591008333	0.014799157618879	0.212605338632011	0.0119455249180231	0.0346745187058688	0.0208075294140104	0.011980308217795	0.176682766842804	0.0387162129694515	0.0164359839330684	0.034789546765989	0.0386130585706033	0.192430549564091	0.0480430533264803	0.181899487347331	0.550828899225916	0.00818536401634094	0.160450457570468	0.0459021447889068	3206.53407220175	0.431033744371184	0.716519588730418	0.349850067426148	0.00188304317344462	8.07744550905454	263.169242005884	NaN
HPD95.lower	-20893.3011894617	-20805.0284154259	-107.421787780847	0.100927614391514	0.000408488561053015	0.00520965625034357	0.000555824958281971	0.000327775830074532	0.181696177751285	0.000232555981613411	0.00290099395696131	0.00482584337659412	0.000844350039262073	0.145226288027761	0.00898150485765712	0.000478648675582963	0.00307112517502566	0.00949843011135544	0.166805851160769	0.0205582693601647	0.138364337132569	0.494450516616313	0.000149961752741505	0.130215502941095	0.0296659450571181	605.355523358259	0.299257003500158	0.380238349890874	0.328643458210945	3.30881815941416e-06	6.8720863853114	223.831656880853	-20805.0284154259
HPD95.upper	-20841.5816997162	-20754.7290056355	-81.8613324591212	0.135429303106368	0.0305715938954396	0.0298105004986336	0.0310730985841455	0.0305997629647765	0.228893117462286	0.0213723068322385	0.0610617871635411	0.0298313009702336	0.0214033347801416	0.194647484056141	0.0550738989781542	0.0309662880828185	0.0611917085080538	0.0549047201940389	0.209141522820975	0.0650242299822981	0.207879631085131	0.580717238439818	0.020497211778038	0.181372437220864	0.0558439850144845	5975.82553505805	0.502395710028744	0.825648429987425	0.359024841495054	0.0036488432321336	8.58664222905011	279.459552526608	-20754.7290056355
ACT	7226.34473323585	13512.6894229929	20074.1260620036	64263.1022621357	8208.04451446525	10264.1733896984	3945.28286024905	10515.1215555695	101796.881515784	16268.7637657261	6379.79550434284	9390.8803782788	12316.1911305024	100021.897800758	7156.52689246344	4200.25703489111	5892.95709000192	6030.66851642764	116972.529714461	53853.8127506659	55115.0575842248	98802.2184162856	65336.0299650769	93099.1087119681	38802.7577204187	3590.35543290301	9335.95806700754	9792.36696292286	20117.0697074648	44615.0561165917	26237.2758970784	33021.4008061323	13512.6894229929
ESS	1245.45677410132	666.04801740545	448.343303823097	140.050817392657	1096.49746466882	876.846060398093	2281.23060343304	855.919729737503	88.4123350930399	553.213515765764	1410.71919842469	958.387247783214	730.753518245607	89.9812960750656	1257.60723535854	2142.7498186985	1527.26379346453	1492.38844341777	76.9419967403455	167.120943537813	163.29657256089	91.0920842088755	137.750946986076	96.6722466467933	231.944854663358	2506.74345985932	964.025323957438	919.09341572649	447.386231239252	201.727864613242	343.027227190235	272.553549525028	666.04801740545
n.samples	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
