trace	posterior	likelihood	prior	pi_0	pi_1	pi_2	pi_3	pi_4	pi_5	pi_6	pi_7	pi_8	pi_9	pi_10	pi_11	pi_12	pi_13	pi_14	pi_15	rates_0	rates_1	rates_2	rates_3	rates_4	rates_5	N0	b	f0	delta	epsilon	treeheight	treelength	D.treeLikelihood
mean	-16055.2249275111	-15983.2473361973	-71.9775913138721	0.183788137839736	0.0154375750901236	0.0097812126482329	0.0102436534017667	0.0154897704193161	0.208544299858208	0.0265463391658527	0.0145153105276105	0.00972882117837214	0.0265668557639148	0.200816701813448	0.0118297226975903	0.0102447126363523	0.0145336603468532	0.0118306732965839	0.230102553316039	0.164911248919968	0.338075871788173	0.0791321247386573	0.205854529132434	0.135549720995275	0.076476504425492	5210.58945608193	0.404888159042873	0.736610370629328	0.187442082997959	0.00166038033714644	8.91127932987743	304.620000929927	-15983.2473361973
stderr.of.mean	0.336016181106914	0.288148934786804	0.115015088122982	0.0011627977011268	0.000199512625654059	0.000129786615584636	0.000143948615843227	0.000187753651974227	0.000951034446669683	0.000209623096699535	0.000155919116130956	0.000124410703372936	0.000212539786565264	0.000981853884483375	0.000134863524101052	0.000152599726891797	0.000150398087955768	0.000136299365341531	0.00140316915085116	0.00137434197587205	0.00249529912419528	0.00114846075286088	0.00125386591290024	0.0011654923752562	0.000973247410126994	47.6039069584755	0.00142916368834153	0.00262246651929165	0.000980001450636286	4.18694125062143e-05	0.0155779161359651	0.552141326372664	0.288148934786804
stdev	7.06264154514367	6.08835216180354	3.60375720455789	0.00912273438749772	0.00471108996542706	0.00364187743036602	0.00391697289263784	0.00468866010669101	0.00862610072690523	0.00765166603327348	0.0054275586177712	0.00363414101993442	0.00765463161772321	0.00881854063886481	0.00522522206683359	0.00389335775292848	0.0054131651865489	0.00523480623001082	0.0104048750007903	0.0131051681904165	0.0213820417348695	0.0110419297409745	0.0125813932057793	0.0119236026523087	0.0104659138664055	2119.18724260847	0.0364383212658543	0.0656191187138754	0.010200631502204	0.00107263545235049	0.327617208524677	11.2083411217432	6.08835216180354
variance	49.8809055951894	37.0680320461379	12.9870659894029	8.32242827048334e-05	2.21943686623475e-05	1.32632712178094e-05	1.53426766416597e-05	2.19835335960757e-05	7.4409613750715e-05	5.85479930847511e-05	2.94583925493424e-05	1.320698095277e-05	5.85933852030479e-05	7.77666589993101e-05	2.73029456477247e-05	1.51582345922883e-05	2.9302357336865e-05	2.74031962657601e-05	0.000108261423782071	0.000171745433299104	0.0004571917087517	0.000121924212404616	0.000158291454998431	0.000142172300210142	0.000109535353059019	4490954.56923447	0.00132775125667361	0.00430586874078568	0.000104052883043756	1.15054681363915e-06	0.107333035321502	125.626910701359	37.0680320461379
median	-16054.8158264471	-15982.902832201	-71.8491084640592	0.183699655395072	0.0153598670516942	0.00972707945448045	0.0100854555370625	0.0154095173508837	0.207356647362221	0.0263974711260118	0.0143488619288997	0.00963148221677481	0.0264598241664532	0.200982053634032	0.0117629947215756	0.0101085679025081	0.0144026788834691	0.0117522110130761	0.230335065578852	0.164339607900384	0.338011593566803	0.0788451422022472	0.205313519669393	0.134433844089512	0.0758036302606957	4780.9011232952	0.403237804780966	0.740509371602106	0.187710673966842	0.00144358470254141	8.92051146176547	305.202515130755	-15982.902832201
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.183561359637249	0.0146494561188642	0.00899431189909777	0.00938295308349753	0.0147089061084366	0.208366399270812	0.0253236182488411	0.013341692317669	0.00893884293340151	0.0253409911179205	0.200623660753786	0.0104239953692228	0.00937879174891193	0.0133592710727656	0.0104372589007276	0.22986588576853	0.164387442799564	0.337396183466814	0.0783609107100458	0.205471870703985	0.135027784167879	0.0757734460523109	4834.37434548606	0.403267383663476	0.733590246295688	0.187162338489505	0.0013108339479741	8.90522459989648	304.41194089715	NaN
HPD95.lower	-16089.4663499131	-16015.5862581371	-88.4640168070945	0.155406652391658	0.00127861238875277	0.000201625873213172	0.000650484420502341	0.00127861238875277	0.185917383393809	0.00126486814562666	0.000456707179141064	0.000201625873213172	0.00252287975720117	0.176376399923395	0.000279949412843958	0.000223009435286234	0.000308175656455231	0.000158995697646092	0.201480426554879	0.125706634988984	0.262917467524821	0.0455011733589757	0.170489871482741	0.0998087270202655	0.0488625630380097	1105.93651589077	0.280147909623326	0.42821224422289	0.147873001198202	5.18265175749652e-06	7.43708518943773	253.940206456829	-16015.5862581371
HPD95.upper	-16044.3009039592	-15973.8646859016	-66.2383422228076	0.197734897068302	0.0233396719342209	0.0159544121711025	0.016812803387271	0.023381181951945	0.221645815840296	0.0392959398570161	0.0237184423044474	0.0158649692121719	0.0393074409198274	0.215114273958398	0.0204354504027233	0.0167019584220348	0.0235694128617761	0.0204305219621711	0.245609344597784	0.186078843692681	0.371349201861907	0.0987201079336761	0.226684730746298	0.156781809490774	0.0953148673514954	9163.36009912717	0.466623165749713	0.837107836861438	0.203884357962895	0.00370843710204771	9.43485643314336	322.039320689551	-15973.8646859016
ACT	20371.7605653017	20159.3728133871	9167.2926391446	146217.979256947	16141.3733170038	11430.14326978	12155.0391995637	14431.8429537823	109397.136437731	6754.74193296133	7427.32097761384	10547.6193616622	6938.64070832917	111568.808083701	5995.45313858942	13826.1542612493	6947.43639159391	6101.3923810343	163677.442729608	98979.8824408391	122571.469239841	97360.9644235122	89389.6486464904	85989.691884029	77827.7921487535	4541.39254861342	13844.8971808543	14374.793920057	83069.5444021584	13712.9833776067	20348.2854411116	21840.3874053767	20159.3728133871
ESS	441.792940337688	446.447420924889	981.762048433942	61.5526219534483	557.579570414808	787.400454007888	740.441873714652	623.627905931531	82.2699779269166	1332.41211719458	1211.75589787038	853.282593104656	1297.09843445219	80.6686040174233	1501.15425672687	650.947460149831	1295.45626511813	1475.08952677361	54.9868072833225	90.9285783944976	73.4273649146614	92.4405387034819	100.683917391741	104.664870902644	115.641209284184	1981.79300812653	650.066221686785	626.102888852009	108.344159881611	656.319617122643	442.302621812855	412.085181134852	446.447420924889
n.samples	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
