trace	posterior	likelihood	prior	pi_0	pi_1	pi_2	pi_3	pi_4	pi_5	pi_6	pi_7	pi_8	pi_9	pi_10	pi_11	pi_12	pi_13	pi_14	pi_15	rates_0	rates_1	rates_2	rates_3	rates_4	rates_5	N0	b	f0	delta	epsilon	treeheight	treelength	D.treeLikelihood
mean	-19088.3344794209	-18980.7959823023	-107.538497118622	0.250011200027955	0.0202095529522219	0.0141461138111723	0.0146017737565965	0.0206092644283241	0.189382218375887	0.0144495144188604	0.0163451921247579	0.0142650955915483	0.0146425902045687	0.165602221358373	0.0212076179286298	0.0148087223451065	0.0162228588030549	0.0215482080583761	0.191947855814567	0.353432776534748	0.200423913563905	0.0579446170440421	0.177848193997977	0.120966909533453	0.0893835893258752	2415.44427508998	0.317683946887836	0.801051187120618	0.203382446398899	0.00130484822523674	11.8702823381051	365.953259340403	-18980.7959823023
stderr.of.mean	0.24781762432025	0.230601367315349	0.122493026924636	0.00125993472205344	0.000449806219015304	0.000242686546863212	0.000322989150257377	0.000446143000402948	0.000951056189035286	0.00027548148265365	0.000259143880532228	0.000245492591788494	0.000283386222231515	0.000908586827134121	0.000282701495571992	0.000334301703795031	0.000201468189555475	0.000273240946881254	0.00135605214001795	0.00213750854363845	0.00106552712104502	0.000901365842687193	0.00128962295425015	0.000911926909200897	0.000832253810919904	15.1140351948065	0.000868680112433186	0.00168216522178123	0.000729452240684188	1.72828990232988e-05	0.0167226562917225	0.521162907226368	0.230601367315349
stdev	6.48190124256788	6.05188733155067	2.96813180681453	0.0100368557500801	0.0105447745948968	0.00584693759363382	0.0066314297087267	0.0105449264663094	0.00827586001671863	0.00668870379392827	0.0064440069768113	0.00586798260529112	0.00671035782928996	0.00783363202923601	0.00719500664874827	0.00655034960726992	0.00618924475977209	0.00712496600060152	0.0111263424068765	0.0160494057234331	0.0121765228517607	0.0081831632868478	0.0120243160473213	0.00996376242884448	0.00844564910593928	858.539410575182	0.030468580354368	0.0589437822595875	0.00798620590704463	0.000760748742021396	0.3745837865079	10.2968748948334	6.05188733155067
variance	42.015043718403	36.6253402737835	8.8098064226241	0.000100738473347917	0.00011119227125718	3.41866792238484e-05	4.39758599817831e-05	0.000111195474179873	6.84898590163221e-05	4.47387584429105e-05	4.15252259171927e-05	3.44332198559992e-05	4.50289021971131e-05	6.13657907694723e-05	5.17681206755317e-05	4.29070799774612e-05	3.83067506963663e-05	5.07651405097276e-05	0.000123795495355059	0.000257583424075367	0.00014826770875945	6.69641613792137e-05	0.000144584176405869	9.92765617384529e-05	7.1328988820653e-05	737089.919510781	0.000928334388810579	0.00347436946706566	6.37794847897146e-05	5.78738648487136e-07	0.140313013114596	106.02563259985	36.6253402737835
median	-19087.9763047104	-18980.4583877578	-107.445254501794	0.248748400722215	0.0196394682192617	0.0140339769740851	0.0145039967389227	0.0208860603382445	0.189751414290369	0.0141696702528779	0.0159924067513306	0.0144209548677373	0.0146221137094827	0.165481565250277	0.0209383956145702	0.0149622020485402	0.0159247053685226	0.021305273578628	0.191968300460482	0.352422970771832	0.200171662742884	0.0571928463989074	0.177728030628582	0.12024660297784	0.0888350612614948	2254.60111851257	0.316216782860349	0.806124091118235	0.203497564761608	0.001190181110819	11.8629339826312	366.030418092587	-18980.4583877578
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.249811037859361	0.0169012111557603	0.0127256711578503	0.0128723062800706	0.0172926143812746	0.189200803580937	0.0126181855622971	0.0149330489227357	0.0128276389758648	0.0127868508671388	0.165417678812292	0.0198816420975592	0.0131293835227773	0.0149012507293118	0.0202560952692064	0.191624318901315	0.353071314363576	0.200053005660897	0.0573722098789053	0.17744354325617	0.120556489024249	0.0889860915495841	2280.00836908375	0.316234811426253	0.798816352680596	0.203225143096857	0.00106736252102676	11.8643793084529	365.808113899919	NaN
HPD95.lower	-19124.4258986105	-19013.8625562538	-122.423055992798	0.229579124133725	0.000341721008246608	0.000598978895808878	0.000418518789593945	0.000451264431553307	0.16624082195415	0.000436034308217884	0.00131138675110824	0.000296031596097875	0.000559780313977423	0.143486005164819	0.00140652681047923	0.000729335267570456	0.00130300739010952	0.000956579072142402	0.166512135721835	0.311501415884923	0.166619142663001	0.0356182471754323	0.144509150597521	0.092623628700999	0.0642773201263279	655.025623962922	0.213990764562444	0.491708995134534	0.172042165821435	2.61594408279407e-06	10.270833688175	319.334374353619	-19013.8625562538
HPD95.upper	-19078.3424997115	-18971.4572840078	-102.833408920347	0.266739549868092	0.0357940667148581	0.02351780693269	0.0250907756422364	0.0359434108252435	0.202877232920127	0.0251140012961656	0.0272978858030897	0.0235249116981931	0.0250860583927806	0.179451332701064	0.0331649090774339	0.0251291771270453	0.0266064927958245	0.0333381096922927	0.210756705854477	0.381785420578644	0.2214224523635	0.0727291765463538	0.197729537238503	0.1384513461929	0.102970392100259	4037.45332761169	0.370250971077533	0.888887645000826	0.216338731294944	0.00271355859346884	12.495412897486	382.653337092021	-18971.4572840078
ACT	13155.3397385436	13067.2619512253	15328.4724217063	141821.878552961	16376.4143961688	15505.1865880058	21350.3026644359	16110.2976921339	118858.046844218	15266.6379053125	14555.007081391	15752.2159068672	16051.240940823	121073.485860687	13894.2888193145	23441.7877619851	9536.30563644751	13236.3572452117	133687.38990474	159639.484216337	68916.7755769321	109194.878122311	103525.480086385	75390.3646292306	87395.2898311905	2789.2208048909	7315.73269357761	7329.99720916188	75085.353200183	4645.08011438562	17937.2179734571	23055.7170240306	13067.2619512253
ESS	684.140446303393	688.751785461532	587.149179148156	63.4605893803546	549.576957585145	580.457381078028	421.544375340019	558.655101972102	75.721419280901	589.527311502431	618.350781258424	571.354535337241	560.710541520196	74.335846003112	647.755355962437	383.934028043509	943.772184230532	679.952938204037	67.3219815751737	56.3776564687683	130.593747671104	82.4223640775426	86.9360856138029	119.379977060231	102.98152242969	3226.74346334228	1230.23904466891	1227.84494225327	119.864921937639	1937.55538728537	501.755624161898	390.36304924368	688.751785461532
n.samples	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
