trace	posterior	likelihood	prior	NInfinity	b	t50	tree.height	tree.treeLength	treeLikelihood
mean	-4502.74066706084	-4446.9023354931	-55.8383315677414	74.5777905306887	15.2714815980704	1.30635358487037	1.49443719044314	47.1854972006737	-4446.9023354931
stderr.of.mean	1.04360411799245	0.189863764750107	1.07195707728126	0.325171270644444	0.589425556672213	0.00425948213878795	0.00399512533660186	0.082016640859734	0.189863764750107
stdev	10.2834721425929	5.25980071324258	9.52266286419277	21.6715135312599	4.58551123816074	0.0709866797170737	0.0680899484144641	2.00828236828548	5.25980071324258
variance	105.749799307484	27.6655035430271	90.6811080250761	469.654498735581	21.0269133152984	0.0050391086972544	0.00463624107508438	4.03319807076632	27.6655035430271
median	-4502.21906048642	-4446.84691912173	-55.3846078875221	71.1779754375765	14.9591009745312	1.30738106863623	1.49137755926099	47.122993467186	-4446.84691912173
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	71.6948015330504	14.564707193426	1.30441336906242	1.49289049667255	47.1427998671275	NaN
HPD95.lower	-4545.97038144478	-4467.89852321385	-93.2023363631339	28.1488647286574	4.6989745884741	1.02752324744906	1.25335132306763	40.2516672473653	-4467.89852321385
HPD95.upper	-4486.68231494334	-4438.43522016855	-40.8633581234981	115.252258977641	23.2913682795544	1.42140867621677	1.61023991423495	50.5740807621038	-4438.43522016855
ACT	92690.3496649136	11727.0317518644	114046.110345981	2026.2281913326	148704.771653179	32404.2803222208	30983.987673756	15010.5605010155	11727.0317518644
ESS	97.1082753764514	767.542903477602	78.9242173423867	4442.2439873765	60.5293286821545	277.77194588172	290.50489222935	599.644496912094	767.542903477602
n.samples	9001	9001	9001	9001	9001	9001	9001	9001	9001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
