trace	posterior	likelihood	prior	NInfinity	b	t50	tree.height	tree.treeLength	treeLikelihood
mean	-4787.43313097346	-4683.67589571002	-103.757235263436	46.9755723187949	5.13459560346897	1.41500234212699	1.91648716641486	49.4351733444084	-4683.67589571002
stderr.of.mean	0.21271854496715	0.0778144315720446	0.20883238225068	0.162123061204499	0.0755247920093686	0.00297847000059052	0.00293948235598081	0.0422233583304403	0.0778144315720446
stdev	6.83453940133243	4.76307715780647	5.06266244472148	11.7922791402231	1.39164847137734	0.100165557237017	0.0957973627477277	2.06476547331698	4.76307715780647
variance	46.7109288283655	22.6869040112177	25.6305510291933	139.057847320941	1.93668546788689	0.0100331388566021	0.00917713470941973	4.2632564598019	22.6869040112177
median	-4787.04438256435	-4683.27256920822	-103.845341933507	45.4116980487909	4.88829120143297	1.41762342812983	1.91246821602975	49.392935273577	-4683.27256920822
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	45.6035860699143	4.96169109888682	1.41141733371043	1.91410444342651	49.3920995383623	NaN
HPD95.lower	-4817.89529124714	-4708.1031983761	-123.77634206882	21.1089383739798	2.01253785802835	1.02236046999149	1.62312489813095	41.6546007534448	-4708.1031983761
HPD95.upper	-4776.86286448843	-4676.710995289	-95.2946141332012	68.7488562274138	7.82110653660908	1.57573075730678	2.07791153927304	52.9209794123351	-4676.710995289
ACT	8718.3581988951	2402.0805636675	15313.7039307398	1701.12643339332	26507.11645746	7957.78390543478	8473.77860218395	3763.62713608888	2402.0805636675
ESS	1032.41915446199	3747.16824079258	587.77419497656	5291.19989161843	339.569187559321	1131.09379532821	1062.21798120618	2391.57591188848	3747.16824079258
n.samples	9001	9001	9001	9001	9001	9001	9001	9001	9001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
