trace	posterior	likelihood	prior	NInfinity	b	t50	tree.height	tree.treeLength	treeLikelihood
mean	-5171.02727874887	-5090.61006612348	-80.4172126253927	84.4385522648679	8.02269007249293	1.42692868287097	1.78435995644745	57.0514227075455	-5090.61006612348
stderr.of.mean	0.607480494168898	0.165448501160874	0.655119689791757	0.665265685031044	0.307239574785111	0.00739503856864256	0.00428709800864584	0.0618773221904257	0.165448501160874
stdev	9.17492722652828	5.39287790068623	7.93348208155109	24.1699147451336	3.01368388920299	0.101659457769696	0.0802520961523881	2.23797219975069	5.39287790068623
variance	84.17928961209	29.0831320517099	62.9401379382922	584.184778787026	9.08229058404168	0.0103346453540286	0.00644039893685214	5.00851956685695	29.0831320517099
median	-5170.99474268452	-5090.42710124916	-80.7160512457296	80.3694623190788	7.41803343379443	1.42920778239743	1.78215196649186	57.0404385036422	-5090.42710124916
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	81.2952444386406	7.5323578980932	1.42326808814373	1.78256099191853	57.0075131205165	NaN
HPD95.lower	-5217.80463522878	-5122.42838463771	-105.182360890874	30.7665763209873	2.90258980122331	1.04922058964802	1.52686532096303	49.6041972679077	-5122.42838463771
HPD95.upper	-5156.01275681651	-5081.99218213688	-66.9999525098362	129.281289296049	13.546858641165	1.59110603126447	1.92204605855866	60.7476563972697	-5081.99218213688
ACT	39454.9886493764	8470.8502285078	61369.9993424827	6818.40058245541	93540.8736901147	47624.2131150879	25683.6391039358	6880.12218535102	8470.8502285078
ESS	228.133382067068	1062.5851900566	146.667754545162	1320.10431055645	96.2253146129339	189.000498092185	350.456567450392	1308.26164964987	1062.5851900566
n.samples	9001	9001	9001	9001	9001	9001	9001	9001	9001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
