trace	posterior	likelihood	prior	NInfinity	b	t50	tree.height	tree.treeLength	treeLikelihood
mean	-4950.72941284855	-4881.38589166269	-69.3435211858582	99.8492750000061	7.73232753990683	1.31868044615997	1.67476202929862	54.3253290148721	-4881.38589166269
stderr.of.mean	0.553293012975732	0.281473300158621	0.634206088798877	0.543717388759119	0.198754993837146	0.00383971066526204	0.00412989031176608	0.077188207545601	0.281473300158621
stdev	10.197690145764	6.70416275924629	8.58900065056677	30.8245279688403	2.10813815344908	0.0825231725226721	0.0773343791051056	2.21896792200078	6.70416275924629
variance	103.992884309012	44.9457983024649	73.7709321754364	950.151524501818	4.44424647402771	0.00681007400320671	0.0059806061915722	4.92381863886844	44.9457983024649
median	-4950.35113944976	-4880.99185877773	-69.4425564467249	94.5875125649295	7.4293520645143	1.32015849966358	1.67256987200711	54.2906270734337	-4880.99185877773
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	95.5657442250516	7.46596126915708	1.31607256987039	1.67298092923195	54.2800112510382	NaN
HPD95.lower	-4993.11421802767	-4912.60483511814	-100.014525634745	37.225167838966	2.92010352660871	1.00993462039542	1.42478390911185	46.8804363526935	-4912.60483511814
HPD95.upper	-4934.55473620113	-4871.06651608037	-54.9309622552506	157.838343517579	11.5634964255433	1.45321375896259	1.80458495360358	58.0664480444486	-4871.06651608037
ACT	26494.1049396041	15864.5521149313	49070.2247644994	2800.24531676537	79998.2462415823	19484.428544493	25666.9539964327	10890.3632988493	15864.5521149313
ESS	339.735953357121	567.365528808627	183.430991873343	3214.36123689237	112.514966550871	461.958634272802	350.684385893667	826.510535323564	567.365528808627
n.samples	9001	9001	9001	9001	9001	9001	9001	9001	9001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
