trace	posterior	likelihood	prior	NInfinity	b	t50	tree.height	tree.treeLength	treeLikelihood
mean	-5128.26111730379	-5021.64215960658	-106.618957697216	62.4758272821312	3.88499109487496	1.34560281797795	2.00189973528613	55.1327556708284	-5021.64215960658
stderr.of.mean	0.190713983558093	0.082793631707915	0.20216411942419	0.228551191406477	0.0417452861872623	0.00283766305585747	0.00365766275058928	0.0522942020413103	0.082793631707915
stdev	6.68461910810693	5.04379621142836	4.82161730977667	16.4450116274217	0.904185593173832	0.103629102697873	0.0999517283060227	2.22053415033289	5.04379621142836
variance	44.6841326204683	25.4398802224191	23.247993481938	270.438407426034	0.817551586903113	0.0107389909259663	0.00999034799136099	4.93077191279459	25.4398802224191
median	-5127.83252645775	-5021.21398918398	-106.679605163807	59.9601567526489	3.73946622215903	1.34560808850818	1.99790042325606	55.0845164286202	-5021.21398918398
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	60.4823412306215	3.78857272821822	1.34157962333215	1.99941578207516	55.0880767688116	NaN
HPD95.lower	-5160.71585684038	-5043.04404736966	-126.498329145791	23.8262263360575	1.89647210389962	0.915377116333424	1.68498514637707	48.1553134199292	-5043.04404736966
HPD95.upper	-5118.0558584129	-5014.11703694281	-98.5846206321207	93.3595865940001	5.57238396678069	1.51350498276587	2.17213021524608	58.8120864004609	-5014.11703694281
ACT	7325.78632465403	2425.05341068637	15822.1386455418	1738.36557651117	19184.1350776274	6748.39788692542	12052.2798396067	4991.54133179797	2425.05341068637
ESS	1228.67356500806	3711.67082767568	568.886431957555	5177.85218576674	469.189773924027	1333.79805856422	746.829655449964	1803.25061973549	3711.67082767568
n.samples	9001	9001	9001	9001	9001	9001	9001	9001	9001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
