trace	posterior	likelihood	prior	NInfinity	b	t50	tree.height	tree.treeLength	treeLikelihood
mean	-5956.72515233021	-5851.39050215344	-105.334650176773	116.552625431874	2.94814293410502	1.4420856132954	2.31093371923878	69.8932063194562	-5851.39050215344
stderr.of.mean	0.175496781630477	0.0886455853673053	0.189452873113912	0.482289326279182	0.0240982536406976	0.00319519140291876	0.00335597752538202	0.0531713818575494	0.0886455853673053
stdev	6.58294963106386	4.77729855073263	5.35470811998012	33.9633403625921	0.607296313434456	0.117165891747245	0.106788816091993	2.59540793903776	4.77729855073263
variance	43.3352258451238	22.8225814428321	28.672899050181	1153.50848858528	0.368808812311081	0.0137278461889272	0.0114038512423294	6.73614237002025	22.8225814428321
median	-5956.38273380522	-5850.94514549331	-105.480052023929	111.062034481055	2.85568726965339	1.44272156705952	2.30858238512	69.8474003766731	-5850.94514549331
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	111.995242216938	2.89096106512785	1.43729106993188	2.30847182141239	69.8450191117587	NaN
HPD95.lower	-5984.23923065902	-5874.28543338242	-122.751107886442	43.6308212099086	1.47498694194017	0.97041222615148	1.9351967813773	60.4156222109388	-5874.28543338242
HPD95.upper	-5946.60716343293	-5844.32337749975	-96.3452653201336	181.611704936606	4.05808224097598	1.63440551062303	2.49224663745408	74.2509574728361	-5844.32337749975
ACT	6396.46094916949	3098.78869531239	11266.0919158073	1814.83443169816	14171.3869565812	6693.20084976806	8888.51169245168	3777.34924916123	3098.78869531239
ESS	1407.18439016949	2904.68337309221	798.946082391786	4959.6810831816	635.153074824472	1344.7975343982	1012.65547162905	2382.88794767884	2904.68337309221
n.samples	9001	9001	9001	9001	9001	9001	9001	9001	9001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
