trace	posterior	likelihood	prior	N0	b	f0	tree.height	tree.treeLength	treeLikelihood
mean	-16605.5232485936	-16450.0746178581	-155.448630735512	2744.72471042933	0.348855410403566	0.757104532896684	10.2235961365818	327.267973784153	-16450.0746178581
stderr.of.mean	0.0965718936415328	0.0501743611977456	0.0718155810821964	37.5010147536909	0.00288360519402177	0.005974050127101	0.00502219456801621	0.0677594253652531	0.0501743611977456
stdev	5.01861763324374	4.44991796091632	2.50564643401265	984.792483900382	0.0294474531112648	0.06113347013091	0.238037430694218	5.92970984766647	4.44991796091632
variance	25.186522948705	19.8017698588857	6.27826405228033	969816.236346684	0.000867152494740137	0.00373730117024687	0.0566618184115048	35.1614588775127	19.8017698588857
median	-16605.1496501331	-16449.748922891	-155.365316047709	2564.41298903115	0.349604737707808	0.763909057255707	10.2194854195154	327.247421796245	-16449.748922891
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	2588.92686974301	0.34760054720217	0.754521806162557	10.2208295455771	327.214254815349	NaN
HPD95.lower	-16633.8722216515	-16475.5685656964	-168.55275577685	768.592919040223	0.239984421360393	0.464609856748548	9.2434430014359	301.987212195	-16475.5685656964
HPD95.upper	-16597.9049291705	-16443.3807643462	-151.487614165551	4597.32675935336	0.396002920685862	0.838062621969975	10.6217531125545	337.0538635186	-16443.3807643462
ACT	3332.54319916187	1144.20068777097	7393.33337739625	13050.8590102855	86301.5567384043	85945.3010657868	4006.25943266564	1175.20884646199	1144.20068777097
ESS	2700.67016753556	7865.84040386587	1217.32641294333	689.617441496146	104.286647195495	104.718930394006	2246.50953121416	7658.29837572713	7865.84040386587
n.samples	90001	90001	90001	90001	90001	90001	90001	90001	90001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	100	100	100	100	100	100	100	100	100
