trace	posterior	likelihood	prior	N0	b	f0	tree.height	tree.treeLength	treeLikelihood
mean	-17473.8419692973	-17321.1219870818	-152.719982215484	3420.5600114009	0.312499375847357	0.714322318607348	11.0795668870128	356.024692184355	-17321.1219870818
stderr.of.mean	0.133477790494347	0.0525725281672682	0.156508803255753	58.2473782630431	0.00291579479355205	0.00747685659037418	0.00618433424481318	0.0707143364238714	0.0525725281672682
stdev	5.37987533445955	4.7735783604674	3.06517447449201	1232.19306595241	0.0239697922550932	0.0602583427876935	0.253841608477189	6.16711307742096	4.7735783604674
variance	28.9430586143263	22.7870503635226	9.39529455907737	1518299.75178119	0.000574550940752325	0.00363106787551917	0.0644355621942867	38.0332837096966	22.7870503635226
median	-17473.4218634588	-17320.7608817428	-152.593240595547	3194.32831463075	0.312623060782278	0.720603020623022	11.0738732349275	355.980081376855	-17320.7608817428
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	3224.57079056816	0.311569960829143	0.711658216724274	11.0766633660237	355.971289019176	NaN
HPD95.lower	-17502.7848692434	-17347.9393762443	-168.891253843777	883.559436381424	0.220286711764009	0.418121997705383	10.142194947216	330.775135016354	-17347.9393762443
HPD95.upper	-17465.7194088777	-17313.9974864923	-147.908521342044	5719.78039824582	0.352587504143035	0.801809839635486	11.5058256756397	366.203487216626	-17313.9974864923
ACT	5540.08085718038	1091.62160355043	23464.4106212422	20111.1892635632	133176.587254924	138562.670113443	5341.98660956427	1183.29662831048	1091.62160355043
ESS	1624.54307653925	8244.70674703373	383.563863813918	447.517045464143	67.5801969814125	64.9532806536676	1684.78520404493	7605.95423385122	8244.70674703373
n.samples	90001	90001	90001	90001	90001	90001	90001	90001	90001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	100	100	100	100	100	100	100	100	100
