trace	posterior	likelihood	prior	N0	b	f0	tree.height	tree.treeLength	treeLikelihood
mean	-17166.6528310662	-17014.5419608326	-152.110870233596	3673.36520492804	0.345239702419345	0.770046086945755	10.5942877780011	349.506911395456	-17014.5419608326
stderr.of.mean	0.16498633718389	0.0974596126954981	0.142990305677905	72.9661432763574	0.00538275799208097	0.0104747287014308	0.010429995237249	0.0908643462030203	0.0974596126954981
stdev	5.66485362614525	5.09034594701959	2.6956314580952	1388.52661856783	0.0342703034114386	0.0689522362572362	0.253948999309262	6.19563072173222	5.09034594701959
variance	32.090566605651	25.9116218603388	7.26642895787244	1928006.17047142	0.00117445369591206	0.00475441088487373	0.0644900942501755	38.3858400400721	25.9116218603388
median	-17166.3048805762	-17014.1966854754	-151.994682836068	3421.19858286968	0.345219058957202	0.779948913670118	10.586534852351	349.477054580236	-17014.1966854754
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	3442.86218471238	0.343535455831303	0.766832254856141	10.5912515673793	349.452000904469	NaN
HPD95.lower	-17195.610777438	-17042.6301143115	-167.583066601717	602.643449387186	0.246823078127586	0.471521678144406	9.54600225713236	325.290456585935	-17042.6301143115
HPD95.upper	-17157.9752915608	-17006.7601492674	-147.882133034874	6264.55284509418	0.405695945925714	0.872004475935754	11.025093306674	359.765713037937	-17006.7601492674
ACT	7634.15698128619	3299.11363368194	25324.1377167342	24852.8886004558	222032.382619482	207697.545733159	15181.6060606517	1935.79102636222	3299.11363368194
ESS	1178.92519397521	2728.03576940014	355.396108671953	362.134967274385	40.5350782341706	43.3327219550439	592.829241125339	4649.31383472376	2728.03576940014
n.samples	90001	90001	90001	90001	90001	90001	90001	90001	90001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	100	100	100	100	100	100	100	100	100
