trace	posterior	likelihood	prior	N0	b	f0	tree.height	tree.treeLength	treeLikelihood
mean	-16003.0747749611	-15845.051747556	-158.023027405118	2443.09705032202	0.35458838594301	0.748703066646676	9.91825263705092	310.422833425087	-15845.051747556
stderr.of.mean	0.0842965557804078	0.0516870390148711	0.0897877725641064	30.8290265493763	0.00299986183527359	0.00605297866692625	0.00533276508944385	0.0701871202692393	0.0516870390148711
stdev	5.24921363252469	4.71735864724817	2.55475071188732	901.067346545874	0.0317822909304403	0.0647171227388302	0.247532381994337	5.81272564650052	4.71735864724817
variance	27.554243759883	22.253472606767	6.52675119988875	811922.363011222	0.00101011401678715	0.00418830597559282	0.0612722801357903	33.7877794414848	22.253472606767
median	-16002.7138886178	-15844.7370604066	-157.895785602474	2282.84662522088	0.352838947515772	0.752520743000124	9.9097925399081	310.396559681743	-15844.7370604066
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	2296.68499338138	0.35316068758125	0.745805542031209	9.9151707076267	310.368395406169	NaN
HPD95.lower	-16038.5708350632	-15880.088857246	-172.523882729459	661.536468337587	0.250768092464573	0.459956442657174	8.96626343725941	286.594358510922	-15880.088857246
HPD95.upper	-15995.0663688788	-15837.8609992573	-154.05276927485	4145.52464599295	0.409205911024979	0.847768249674272	10.3360188524396	319.984622546498	-15837.8609992573
ACT	2320.99216357991	1080.45833749306	11116.8014050378	10535.3175259998	80181.5814062178	78730.3885058198	4177.18176790387	1312.19297013903	1080.45833749306
ESS	3877.69512591469	8329.89083214677	809.594385298759	854.278950566884	112.24647658673	114.315452658216	2154.58663282357	6858.82351514689	8329.89083214677
n.samples	90001	90001	90001	90001	90001	90001	90001	90001	90001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	100	100	100	100	100	100	100	100	100
