trace	posterior	likelihood	prior	N0	b	f0	tree.height	tree.treeLength	treeLikelihood
mean	-12573.0325172222	-12440.2121818352	-132.820335386956	3738.78810476687	0.508867683153353	0.72427198407121	6.83970784471819	225.010085639397	-12440.2121818352
stderr.of.mean	0.24973375910888	0.0571015907965697	0.206049594458686	85.657687543659	0.00745821059857566	0.0124196923966462	0.004099005823657	0.0885676465567549	0.0571015907965697
stdev	5.53994756500568	4.69202032723714	2.662920850777	1472.33771862201	0.0395106442707034	0.0608401771619845	0.183220189425786	4.81991785786833	4.69202032723714
variance	30.6910190230124	22.0150547512066	7.09114745750288	2167778.35767708	0.00156109101068607	0.00370152715710166	0.033569637813221	23.231608156598	22.0150547512066
median	-12572.670072606	-12439.8473842517	-132.690345339365	3450.39193340234	0.514216931561283	0.737204312090682	6.83453444244669	224.970697776792	-12439.8473842517
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	3484.97416748552	0.50729358434677	0.721590865746044	6.83725973440249	224.958464686069	NaN
HPD95.lower	-12603.6699469116	-12465.7814023666	-146.31796151712	853.069251546661	0.371013494647576	0.554344452900858	6.10881654305386	204.776549947285	-12465.7814023666
HPD95.upper	-12564.5632705279	-12433.1761783883	-128.658867997096	6487.29977924923	0.564620111926075	0.793522909549713	7.1492517885481	233.000913366185	-12433.1761783883
ACT	18288.8210214754	1332.96625293466	53885.2027308826	30462.1340442538	320688.636668619	375044.886597947	4504.56568831799	3038.87925729558	1332.96625293466
ESS	492.109359560781	6751.93387693453	167.023589851725	295.452051616775	28.0649170905927	23.9973942363017	1997.9950616195	2961.65106869351	6751.93387693453
n.samples	90001	90001	90001	90001	90001	90001	90001	90001	90001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	100	100	100	100	100	100	100	100	100
