trace	posterior	likelihood	prior	N0	b	f0	tree.height	tree.treeLength	treeLikelihood
mean	-17605.3190837476	-17459.9683915191	-145.35069222857	4827.6129236586	0.380438167436635	0.846864289278224	10.8526041396154	367.648784523356	-17459.9683915191
stderr.of.mean	0.096942512287205	0.0580673492923612	0.151515127035857	92.687870960616	0.00462344490151639	0.00702537204433493	0.00762635338845262	0.144319461450777	0.0580673492923612
stdev	5.47101347371145	4.91033016712098	2.49422756170034	1804.49551414351	0.0248898011283729	0.0356178862457631	0.236904539945599	6.451141235688	4.91033016712098
variance	29.9319884295322	24.1113423501384	6.22117112954561	3256204.06056405	0.000619502200209953	0.00126863382061612	0.056123761046836	41.6172232427941	24.1113423501384
median	-17604.9434866476	-17459.6177183016	-145.251106887962	4494.61171693288	0.383968059991486	0.857775430298849	10.8458303210597	367.629861283228	-17459.6177183016
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	4530.97089114294	0.379608708826277	0.846096006937091	10.8500230947242	367.592198964728	NaN
HPD95.lower	-17633.7350313995	-17487.5460084797	-158.833160507751	1188.46382602459	0.301112019801603	0.726416451741714	9.95673353882716	341.840161462766	-17487.5460084797
HPD95.upper	-17596.9562194759	-17452.4929834502	-141.441546446273	8230.01061050015	0.416905671295808	0.88976948929039	11.2538711477698	378.292775809101	-17452.4929834502
ACT	2825.76135513606	1258.5924516413	33211.0303925701	23745.24795168	310549.639254338	350142.542299034	9326.73406453666	4504.21599404266	1258.5924516413
ESS	3185.01772403446	7150.92481943874	270.997313049748	379.027417120032	28.9811961192748	25.7041030801496	964.978730788666	1998.15018016535	7150.92481943874
n.samples	90001	90001	90001	90001	90001	90001	90001	90001	90001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	100	100	100	100	100	100	100	100	100
