trace	posterior	likelihood	prior	N0	b	f0	tree.height	tree.treeLength	treeLikelihood
mean	-16233.1821645352	-16065.2731262242	-167.909038311005	1585.16512127308	0.309086037074438	0.70023570651662	10.7000601158714	312.369569827812	-16065.2731262242
stderr.of.mean	0.0664978600345126	0.0434367137467651	0.0822059590074218	22.7976819007076	0.0024887319104266	0.00634403021610737	0.0043166653550309	0.0549816304413949	0.0434367137467651
stdev	5.05874868097514	4.59050626482117	2.6213250585262	521.748341026219	0.0266833722510894	0.0675330008029809	0.265801576735722	5.77882567306436	4.59050626482117
variance	25.5909382172678	21.0727477673624	6.8713450624574	272221.331363611	0.000712002354690205	0.00456070619745542	0.0706504781951961	33.3948261596678	21.0727477673624
median	-16232.8147341058	-16064.9096753441	-167.81068989968	1501.32060708031	0.308176992097362	0.703908149318726	10.6947053842511	312.349483615338	-16064.9096753441
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	1506.95152322077	0.30793822629466	0.696884853693178	10.6967636978255	312.316116840103	NaN
HPD95.lower	-16263.5024916475	-16091.8067480379	-182.209972937561	416.624104376682	0.221361895692646	0.414838835902106	9.69641255812217	288.167341246383	-16091.8067480379
HPD95.upper	-16225.5725000312	-16058.382912871	-163.753532715325	2550.55939238169	0.355140305540524	0.808465389066285	11.1482517403426	321.957532942063	-16058.382912871
ACT	1555.14769172314	805.814841777262	8851.3059243323	17183.1085991832	78291.986429108	79422.014643988	2373.69091263441	814.701566060163	805.814841777262
ESS	5787.29598989257	11168.9429548727	1016.81040932713	523.77600642225	114.955570940194	113.319966011228	3791.60570236642	11047.1126789701	11168.9429548727
n.samples	90001	90001	90001	90001	90001	90001	90001	90001	90001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	100	100	100	100	100	100	100	100	100
