trace	posterior	likelihood	prior	N0	b	f0	tree.height	tree.treeLength	treeLikelihood
mean	-13287.3041748578	-13150.3776820799	-136.926492777873	3330.81496245565	0.472716715811134	0.714192046674404	7.30791242263324	239.31915707471	-13150.3776820799
stderr.of.mean	0.1040418512083	0.06793669127729	0.106356019105114	37.1949866023547	0.00498163873353056	0.00755487112965659	0.00718185595505094	0.0781052633377013	0.06793669127729
stdev	5.50138044632193	4.82904291055626	2.95534630086553	1359.95852055847	0.0447437939838868	0.0714564437822996	0.206304049784651	5.08445911770357	4.82904291055626
variance	30.2651868151733	23.3196554319937	8.73407175803958	1849487.17763957	0.00200200710007251	0.00510602335801294	0.0425613609575479	25.851724519599	23.3196554319937
median	-13286.9603143332	-13150.070104396	-136.81348540101	3060.85936283282	0.470847727329078	0.721133617789853	7.30255336215568	239.285237421089	-13150.070104396
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	3093.14219089217	0.470606074040475	0.710458287596573	7.30500554031553	239.265144267406	NaN
HPD95.lower	-13320.3474572955	-13177.3327915666	-152.11221365416	632.961607511632	0.321801926913239	0.398713678974299	6.48946017549517	217.881879219091	-13177.3327915666
HPD95.upper	-13278.8555122039	-13142.9821336861	-132.255917186307	5896.17167427072	0.549538861446503	0.825088782539519	7.65729264509296	247.731639724816	-13142.9821336861
ACT	3218.95786761773	1781.26757967593	11656.009706207	6732.24632435565	111563.300753052	100603.672171205	10906.8761931183	2123.79988039337	1781.26757967593
ESS	2795.96700862095	5052.63785334115	772.142459284958	1336.8643341881	80.672586229068	89.4609491459101	825.176690433013	4237.73448858703	5052.63785334115
n.samples	90001	90001	90001	90001	90001	90001	90001	90001	90001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	100	100	100	100	100	100	100	100	100
