trace	posterior	likelihood	prior	N0	b	f0	tree.height	tree.treeLength	treeLikelihood
mean	-17227.2128201539	-17085.4679811636	-141.744838990228	6189.30767433343	0.359656713343607	0.778794179876861	10.3235578556507	355.756846240545	-17085.4679811636
stderr.of.mean	0.105254037382617	0.0786555492183293	0.10937664249445	76.9326493689091	0.00232521868751038	0.00472204109472861	0.00501181693776534	0.108508200467294	0.0786555492183293
stdev	5.78795096643182	5.23257659322809	2.30916020082585	2330.86098406769	0.0147912067788784	0.0236265404613276	0.240527415817166	6.25217323727245	5.23257659322809
variance	33.5003763898191	27.3798578039985	5.33222083307807	5432912.92704901	0.000218779797975538	0.00055821341417075	0.0578534377596838	39.0896701888659	27.3798578039985
median	-17226.8308270909	-17085.1099069153	-141.628894575743	5771.95160324348	0.359330439422615	0.774678055172144	10.3134345924508	355.698889910154	-17085.1099069153
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	5804.49065552676	0.359353047471118	0.778435736699324	10.3207638721551	355.701911278761	NaN
HPD95.lower	-17259.6319154552	-17110.9174510054	-156.743007981873	1484.04882763206	0.305540065004782	0.721976991762422	9.50563247017893	329.442244400554	-17110.9174510054
HPD95.upper	-17218.3735130736	-17077.506653116	-138.177697006851	10414.3324449681	0.384661505442901	0.816427972786458	10.7370286991633	366.056348132069	-17077.506653116
ACT	2976.2564544219	2033.62118230314	20192.19621007	9804.62848548406	222414.399990263	359502.376301892	3907.54274741944	2710.85086143692	2033.62118230314
ESS	3023.96656263553	4425.652170778	445.721698935928	917.944011170318	40.4654554758776	25.0348831976626	2303.26335033537	3320.0277182454	4425.652170778
n.samples	90001	90001	90001	90001	90001	90001	90001	90001	90001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	100	100	100	100	100	100	100	100	100
