trace	posterior	likelihood	prior	b	nCarryingCapacity	t50	tree.height	tree.treeLength	treeLikelihood
mean	-5828.53676592076	-5712.91357105505	-115.623194865717	6.60810383643004	129.680636508934	1.40817070234363	2.51352670245622	68.0069841422805	-5712.91357105505
stderr.of.mean	0.0437358325814968	0.0274433652055762	0.0320285773013415	0.0138265410515773	0.171087907113709	0.00109490663967977	0.00108414793959234	0.0141148004407142	0.0274433652055762
stdev	5.94542051594469	4.64656688490868	3.73341280185267	1.20358140329978	30.9703446945532	0.104419130599285	0.13479626294463	2.49564886126636	4.64656688490868
variance	35.348025111416	21.5905838159299	13.9383711490374	1.44860819436908	959.162250499441	0.0109033548351106	0.0181700325038379	6.22826323874007	21.5905838159299
median	-5828.1326086077	-5712.49376855491	-115.645817411251	6.47915448586227	125.985736815576	1.40792902676453	2.50617019545443	67.9598595646146	-5712.49376855491
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	6.502875301429	126.170726759332	1.40427088163856	2.50993862982293	67.9612350549283	NaN
HPD95.lower	-5861.83547332069	-5737.06645272566	-131.781795688581	3.3314422718652	46.7026657495861	0.973128585731548	2.06549729035833	58.610968526522	-5737.06645272566
HPD95.upper	-5819.52251029781	-5706.08132753865	-109.496609884648	8.75916541110557	186.086021066635	1.5797900720959	2.74568236411432	72.1804420461294	-5706.08132753865
ACT	2435.13002517206	1569.722407393	3311.88909100416	5938.66285893228	1373.27989804474	4947.73631802841	2910.94437691362	1439.44487709862	1569.722407393
ESS	18479.9166922597	28668.1261527876	13587.7134660798	7577.63171086813	32768.9934616183	9095.27046460151	15459.2442084768	31262.7462961313	28668.1261527876
n.samples	45001	45001	45001	45001	45001	45001	45001	45001	45001
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
