trace	posterior	likelihood	prior	b	nCarryingCapacity	t50	tree.height	tree.treeLength	treeLikelihood
mean	-5626.92557477933	-5517.98463107386	-108.940943705471	7.38658053514999	138.397774178512	1.26263385499327	2.28825765476606	65.1031382227506	-5517.98463107386
stderr.of.mean	0.0554170453747698	0.0387315101441928	0.0420553348258633	0.0171951365756817	0.19343060914501	0.00110617351980327	0.00111193322857492	0.0142364556811252	0.0387315101441928
stdev	6.42262780664981	5.19007149798916	4.24043492120528	1.34108561279038	34.0338009350372	0.095426053404972	0.127743915597194	2.44067736192909	5.19007149798916
variance	41.2501479427514	26.9368421542394	17.9812883209772	1.79851062083336	1158.29960608574	0.00910613166844857	0.016318507972103	5.95690598503313	26.9368421542394
median	-5626.54326089539	-5517.62190418971	-108.95470890607	7.21635562653526	133.918831364887	1.26149267203942	2.28209689083972	65.0628139692595	-5517.62190418971
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	7.27103282251699	134.442914340596	1.25902110873114	2.28471632478854	65.0574181075559	NaN
HPD95.lower	-5659.87883177583	-5552.51421050781	-126.715041145065	3.9436679258376	54.02586911974	0.866319176075538	1.85692889370969	55.3577259601395	-5552.51421050781
HPD95.upper	-5617.01115107983	-5510.15277599513	-101.983712192011	9.82131756286514	201.13764478571	1.42191697057325	2.50797654685751	69.1820460309115	-5510.15277599513
ACT	3350.22316614885	2506.07862986926	4426.22919832961	7397.93934094199	1453.59025873946	6046.79302845147	3409.49048675565	1531.07169806612	2506.07862986926
ESS	13432.2395160707	17956.7390518579	10166.8933043464	6082.91010862357	30958.5178694198	7442.12672539982	13198.7463155591	29391.8306091349	17956.7390518579
n.samples	45001	45001	45001	45001	45001	45001	45001	45001	45001
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
