trace	posterior	likelihood	prior	b	nCarryingCapacity	t50	tree.height	tree.treeLength	treeLikelihood
mean	-6110.77099194249	-5996.99365070335	-113.777341239137	5.37916078470552	163.977344410498	1.26409398363949	2.65714454948125	73.887349376088	-5996.99365070335
stderr.of.mean	0.0468837208821031	0.0344839288156673	0.049648006254434	0.00929760096919711	0.217438717118155	0.000816149625937014	0.00134985051882192	0.0147175992857159	0.0344839288156673
stdev	6.03450131797406	4.99837853539577	4.47007460283544	0.81144756903715	40.0165913189893	0.0934841805552454	0.149437476124155	2.61051346999966	4.99837853539577
variance	36.4152061566307	24.9837879831051	19.9815669549145	0.6584471572963	1601.32758079101	0.00873929201408573	0.0223315592703573	6.81478057704968	24.9837879831051
median	-6110.39394571815	-5996.60492749613	-113.764969516481	5.31012691240457	158.819428705476	1.26287851024942	2.65060525705114	73.8727571588169	-5996.60492749613
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	5.31965753230919	159.344041760257	1.26062721376402	2.65296711401074	73.8412383146911	NaN
HPD95.lower	-6139.99532481341	-6028.67095071648	-132.971514331452	2.6798078881584	66.1158067016612	0.902680367053517	2.12953554887173	64.5670824514393	-6028.67095071648
HPD95.upper	-6101.60128064939	-5989.48087029332	-106.444996569224	6.81771024639067	237.345682991425	1.41994936488218	2.91295639163417	78.248291321345	-5989.48087029332
ACT	2716.27592315403	2141.84336679215	5551.1964513252	5907.90350475635	1328.63620851886	3429.85558477237	3671.67997582325	1430.32452447313	2141.84336679215
ESS	16567.1681644723	21010.406595417	8106.54070605936	7617.08446384922	33870.0689560209	13120.3774875514	12256.2424547662	31462.0907563453	21010.406595417
n.samples	45001	45001	45001	45001	45001	45001	45001	45001	45001
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
