trace	posterior	likelihood	prior	b	nCarryingCapacity	t50	tree.height	tree.treeLength	treeLikelihood
mean	-5049.45071593771	-4960.07483320771	-89.3758827299932	17.4140703355856	121.776677588415	1.37216670645204	1.85851389807994	56.0625836279156	-4960.07483320771
stderr.of.mean	0.10853355306362	0.0420936610114356	0.0989724342028942	0.0983911621331149	0.15832863478474	0.00170089937101382	0.00122810888313371	0.0278644531374128	0.0420936610114356
stdev	7.77510760322193	4.88000042581834	5.75454106096323	4.61860164601384	29.8458362367741	0.080397883528529	0.0916955612748121	2.1931513970775	4.88000042581834
variance	60.4522982416795	23.8144041559872	33.1147428223118	21.3314811645617	890.77394067234	0.00646381967586691	0.00840807595750282	4.80991305050297	23.8144041559872
median	-5049.06598908137	-4959.50824942295	-89.4460323766776	16.7144677514002	117.762165297798	1.37167085527165	1.85499974196201	56.0373213272673	-4959.50824942295
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	16.8471145597934	118.32694763502	1.3698014514826	1.85626294134825	56.0197057739678	NaN
HPD95.lower	-5087.9805033621	-4985.88555586036	-112.157242249845	6.73500558331144	48.8867480217772	1.04029751382554	1.54044626829053	47.7842116066074	-4985.88555586036
HPD95.upper	-5037.3192305265	-4953.06319837668	-79.8155124169973	26.0166356061982	176.774719849288	1.50474644258695	2.01468565585894	59.7281603908021	-4953.06319837668
ACT	8768.54911200675	3348.15991275319	13311.2742288128	20422.2544037083	1266.3797116331	20140.9764857702	8072.15760263875	7264.00837291866	3348.15991275319
ESS	5132.09191454266	13440.516932477	3380.66808830319	2203.52753963483	35535.1555197988	2234.30080620936	5574.84159938718	6195.06444510315	13440.516932477
n.samples	45001	45001	45001	45001	45001	45001	45001	45001	45001
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
