trace	posterior	likelihood	prior	b	nCarryingCapacity	t50	tree.height	tree.treeLength	treeLikelihood
mean	-6260.8218402247	-6157.95835980594	-102.863480418762	6.79272505506616	196.373376089317	1.35640701943379	2.55293699917075	76.4584255023478	-6157.95835980594
stderr.of.mean	0.053297578518017	0.0366373870658546	0.0465578525945828	0.0133600729222072	0.264679848646642	0.00100596091340281	0.00114756361558466	0.0153597861795622	0.0366373870658546
stdev	6.56324577412804	5.20907915326608	4.58514427930139	1.10066588154075	48.9288061289766	0.0945797418467832	0.13262673848768	2.65666815166484	5.20907915326608
variance	43.0761950916095	27.1345056249912	21.0235480620103	1.21146538278787	2394.02806920698	0.00894532756780416	0.0175898517618795	7.05788566807025	27.1345056249912
median	-6260.39629227134	-6157.50442067308	-102.926040762581	6.68064856921502	190.224236646084	1.35580308235877	2.54764310394118	76.4327973295786	-6157.50442067308
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	6.70668834314399	190.628580177741	1.35309189639452	2.54950872062248	76.4122804457253	NaN
HPD95.lower	-6292.60779063084	-6186.79056449853	-120.763496857647	3.58877824833018	69.2141183860713	0.95207062180038	2.1072821672599	65.8857402650197	-6186.79056449853
HPD95.upper	-6250.77579000818	-6150.19342606933	-95.2406291467153	8.79439578233127	285.894415340517	1.51224989032713	2.78019053595609	80.9035387794082	-6150.19342606933
ACT	2967.4959471191	2226.07394070726	4639.72652874624	6630.08600332513	1316.81580578539	5090.71141336972	3369.02221261366	1504.20917973642	2226.07394070726
ESS	15164.637391902	20215.4111672061	9699.06302045787	6787.39310130081	34174.1037754023	8839.82538900437	13357.2880082285	29916.716774648	20215.4111672061
n.samples	45001	45001	45001	45001	45001	45001	45001	45001	45001
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
