trace	posterior	likelihood	prior	b	nCarryingCapacity	t50	tree.height	tree.treeLength	treeLikelihood
mean	-5470.9046189549	-5381.7975277572	-89.1070911976937	11.2473809083583	169.471857272223	1.24901336797627	1.97464162340562	63.0079024504859	-5381.7975277572
stderr.of.mean	0.0732331158327568	0.0411844776679721	0.0670863928572556	0.0326518379198259	0.235208455923332	0.00107492256810557	0.000981618156516346	0.0181149585796998	0.0411844776679721
stdev	6.966480226465	4.76165073233811	5.2923062529638	2.12397275208679	42.524843321861	0.0772971342438497	0.0991669564058021	2.36068152421474	4.76165073233811
variance	48.5318467457278	22.6733176967761	28.0085054751598	4.51126025160714	1808.36229954883	0.00597484696231173	0.00983408524279026	5.57281725876884	22.6733176967761
median	-5470.47612631663	-5381.31666394091	-89.1406550659203	10.9848472914514	164.05868655716	1.24903795754435	1.97045699373083	62.9940296710846	-5381.31666394091
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	11.0561151329742	164.429343980377	1.24660856688572	1.97216528896044	62.9636716143902	NaN
HPD95.lower	-5512.30679181558	-5407.30567920174	-112.244684715423	5.15597865700536	58.3139367583546	0.934230931483202	1.64105658484998	53.9711529259095	-5407.30567920174
HPD95.upper	-5460.23250654746	-5374.8426193329	-80.3754113134702	15.1213981887027	247.904985631306	1.37645862123816	2.14452890908607	66.9047665139849	-5374.8426193329
ACT	4972.79688533374	3366.39106011498	7230.88509226297	10634.8139278004	1376.6797713016	8702.42100531148	4409.23971494872	2649.79576801353	3366.39106011498
ESS	9049.43456120667	13367.7279901233	6223.44283248962	4231.47977063924	32688.066562824	5171.08974301908	10206.0679185648	16982.8182772501	13367.7279901233
n.samples	45001	45001	45001	45001	45001	45001	45001	45001	45001
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
