trace	posterior	likelihood	prior	b	nCarryingCapacity	t50	tree.height	tree.treeLength	treeLikelihood
mean	-6408.68529117363	-6296.37288183371	-112.312409339917	5.29204772945178	187.245200856736	1.31126699949985	2.78943345271594	78.6580862279282	-6296.37288183371
stderr.of.mean	0.0419026578377277	0.0275932518923263	0.0349678743373363	0.00767549151413949	0.247012754787694	0.000849125647820563	0.00106537239024513	0.0141016309849593	0.0275932518923263
stdev	5.96907082639702	4.88154750343757	3.96689657157018	0.747414100741636	45.7845073765336	0.0971151224503008	0.147314283911675	2.69956427229127	4.88154750343757
variance	35.629806530544	23.8295060283176	15.7362684095352	0.558627837987429	2096.22111571186	0.00943134700853691	0.0217014982444097	7.2876472602315	23.8295060283176
median	-6408.2908400379	-6296.03031322427	-112.332137535907	5.22415706614684	181.534227097552	1.31016227936661	2.78380516469944	78.6373841960631	-6296.03031322427
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	5.24064439162346	181.949967646221	1.30765977085364	2.7855608302615	78.6117773146047	NaN
HPD95.lower	-6440.442396341	-6319.33156172728	-130.259731272919	2.99971060259243	74.2584785116919	0.91238638887608	2.25097266600024	68.8337049542282	-6319.33156172728
HPD95.upper	-6399.62521185679	-6289.0234983462	-105.787892228513	6.62855038975492	270.049498992232	1.47348076148019	3.0402946154563	83.1621921297043	-6289.0234983462
ACT	2217.59478029169	1437.81577730007	3496.62633771008	4745.72240707723	1309.82772967771	3440.19220319324	2353.5621478707	1227.90243759892	1437.81577730007
ESS	20292.7064944123	31298.1681731877	12869.8338494673	9482.43410379221	34356.4264066029	13080.9551740247	19120.3788864097	36648.6771440867	31298.1681731877
n.samples	45001	45001	45001	45001	45001	45001	45001	45001	45001
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
