trace	posterior	likelihood	prior	b	nCarryingCapacity	t50	tree.height	tree.treeLength	treeLikelihood
mean	-5346.79371149685	-5240.02261461754	-106.771096879308	8.05928901858973	127.304747071886	1.21618398115475	2.20662786132555	60.7186544514589	-5240.02261461754
stderr.of.mean	0.0551705376541838	0.0321473230306769	0.0509291857382381	0.019563089484893	0.172840200886207	0.000958619637984763	0.00116749607439501	0.014048721497994	0.0321473230306769
stdev	6.4129637599272	5.00951497927722	4.48878558943827	1.48883372383925	31.4418261586365	0.0864910103634478	0.12738781321448	2.32743866065231	5.00951497927722
variance	41.1261041861396	25.0952403276028	20.1491960679486	2.21662585724105	988.58843218992	0.00748069487369003	0.0162276549555674	5.416970719099	25.0952403276028
median	-5346.36181513676	-5239.63482823148	-106.817839199854	7.87592993677284	123.13521552811	1.21575816793812	2.20115819626441	60.6920315056392	-5239.63482823148
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	7.92838895971324	123.65308950438	1.21309813914668	2.20297304104165	60.6740727960008	NaN
HPD95.lower	-5378.12880384155	-5266.57117232867	-126.354513483392	3.97604940030051	44.8758747947865	0.907418033516927	1.7598781197806	51.3471804661742	-5266.57117232867
HPD95.upper	-5336.96021401166	-5232.53756558776	-99.3825595035836	10.7839611285004	184.537757461949	1.36060065235536	2.42561096309664	64.5984173014655	-5232.53756558776
ACT	3330.49951533822	1853.15089163036	5792.79628561586	7769.53453554757	1359.83593624043	5527.93866648277	3779.78943386491	1639.56874864931	1853.15089163036
ESS	13511.78698353	24283.5055705632	7768.44166119605	5791.98146222391	33092.9627616809	8140.64748454103	11905.6896653594	27446.8515193842	24283.5055705632
n.samples	45001	45001	45001	45001	45001	45001	45001	45001	45001
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
