trace	posterior	likelihood	prior	b	nCarryingCapacity	t50	tree.height	tree.treeLength	treeLikelihood
mean	-4837.68608175634	-4730.06721327096	-107.618868485376	9.73577118594231	100.505804020716	1.18140983668482	1.96638382354018	52.4944255199242	-4730.06721327096
stderr.of.mean	0.0540009694366199	0.0349405402797882	0.0405262616885844	0.0203891268004514	0.133770237505496	0.000809340223985237	0.000886109893472656	0.0134101258920165	0.0349405402797882
stdev	6.56289435760694	5.13066662305203	4.32315598881762	1.81110449332692	24.9811279442936	0.0796434494981454	0.113504154570429	2.12966927636301	5.13066662305203
variance	43.071582349109	26.3237399969001	18.6896777036496	3.28009948574897	624.056753369165	0.00634307904796363	0.0128831931047478	4.53549122668455	26.3237399969001
median	-4837.24731796141	-4729.61887925158	-107.668128648197	9.53893874769642	97.1335581402804	1.18024753963763	1.96074153489588	52.4428649472836	-4729.61887925158
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	9.57462015281369	97.5861825397423	1.17872237183508	1.96313047241494	52.4512558425149	NaN
HPD95.lower	-4873.92609339936	-4758.03312184468	-129.026604398471	4.85586079938184	39.4512177839303	0.866214207520105	1.57171043223714	44.5192494135678	-4758.03312184468
HPD95.upper	-4827.64131090152	-4722.4753114503	-100.458571254831	12.9737150930224	146.228288310042	1.31556744923841	2.16056349234129	56.0531347684039	-4722.4753114503
ACT	3046.66567333986	2087.0081894251	3954.42907179686	5703.25448903577	1290.34969200702	4647.02105708869	2742.61071337085	1784.24255087958	2087.0081894251
ESS	14770.5737435471	21562.445335874	11379.8981301622	7890.40715025293	34875.0422298353	9683.83819379391	16408.0887530301	25221.3467153419	21562.445335874
n.samples	45001	45001	45001	45001	45001	45001	45001	45001	45001
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
