trace	posterior	likelihood	prior	b	nCarryingCapacity	t50	tree.height	tree.treeLength	treeLikelihood
mean	-7031.62001819801	-6912.92413508722	-118.695883110784	4.60395747697831	215.729055893224	1.50663705935402	3.11237932157122	90.3118649014596	-6912.92413508722
stderr.of.mean	0.0406431947070101	0.0338326469443919	0.0415037550438213	0.00947600771512465	0.286919191219065	0.00134772343684275	0.00153654856735362	0.0157656081586021	0.0338326469443919
stdev	5.83554187670565	4.91809698965599	4.01472670342934	0.749999506920594	52.2080751110463	0.123879167313533	0.163132842685876	2.92295821006192	4.91809698965599
variance	34.0535489947853	24.1876779996633	16.1180305032286	0.562499260381135	2725.68310680065	0.0153460480942942	0.0266123243627747	8.54368469776836	24.1876779996633
median	-7031.28814845326	-6912.59472927248	-118.724926859287	4.51912230424547	209.140494732209	1.50440646829141	3.10252684819272	90.2913473923653	-6912.59472927248
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	4.54535335978356	209.741552994692	1.50152221435011	3.10814686430341	90.2645609318406	NaN
HPD95.lower	-7059.78410603288	-6938.21707775274	-136.22242699187	2.43139085952325	78.1350055943069	1.00958739025183	2.56506230620361	79.1844988386001	-6938.21707775274
HPD95.upper	-7022.65663722597	-6905.39815300479	-112.04514954332	5.94482498533278	311.813761994037	1.71139721697704	3.3943993169539	95.1612111319489	-6905.39815300479
ACT	2182.85963070433	2129.56200021162	4809.22750886854	7183.58721936138	1359.11544227898	5326.20061250244	3992.29191677778	1309.14803362	2129.56200021162
ESS	20615.6178652128	21131.5754110602	9357.22003523749	6264.41896309301	33110.505995386	8448.98704986197	11271.9713232595	34374.2639062483	21131.5754110602
n.samples	45001	45001	45001	45001	45001	45001	45001	45001	45001
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
