trace	posterior	likelihood	prior	b	nCarryingCapacity	t50	tree.height	tree.treeLength	treeLikelihood
mean	-6049.86378943911	-5948.42583295952	-101.437956479586	8.80307048633717	169.241286050813	1.48851594533741	2.37710763834021	72.4156897656997	-5948.42583295952
stderr.of.mean	0.0704178433431513	0.0359700391157636	0.0562267164834298	0.0289981946179695	0.231613991239862	0.00148886028342719	0.001144509284541	0.0180488780720346	0.0359700391157636
stdev	6.78417631857116	4.98272834754363	4.58491741887866	1.79837561806515	41.440913932061	0.0998722835891841	0.117500173260022	2.56709602069455	4.98272834754363
variance	46.0250483214617	24.8275817854149	21.021467737937	3.23415486365122	1717.34934752448	0.00997447302931842	0.0138062907161351	6.5899819794658	24.8275817854149
median	-6049.45802163837	-5947.96880200331	-101.448516307611	8.57053270278813	164.03473477966	1.48920545045558	2.37138209498932	72.3683467491087	-5947.96880200331
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	8.62950171962516	164.448075993996	1.48514213220591	2.3742240011254	72.3702222466842	NaN
HPD95.lower	-6085.56357096758	-5973.41234719196	-118.657872715524	4.16087489202134	64.6038010591376	1.05407248416934	1.965635619896	62.3601890315671	-5973.41234719196
HPD95.upper	-6039.4081244577	-5941.06853833538	-93.7935879846839	12.1182986354018	244.831405768856	1.65073031971466	2.57945716970878	76.6949924714482	-5941.06853833538
ACT	4848.23542347663	2345.09214807951	6767.60375612894	11700.2090735281	1405.67022341744	10000.7010012505	4269.47170611343	2224.48104154176	2345.09214807951
ESS	9281.93374894534	19189.4378380198	6649.47322887304	3846.17058696973	32013.9099842312	4499.78456453934	10540.1799326983	20229.8869532331	19189.4378380198
n.samples	45001	45001	45001	45001	45001	45001	45001	45001	45001
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
