trace	posterior	likelihood	prior	b	nCarryingCapacity	t50	tree.height	tree.treeLength	treeLikelihood
mean	-5333.87257075843	-5234.05307115231	-99.8194996061127	9.62010753937443	137.209032204972	1.23150828787845	2.05954622725345	60.2880507699507	-5234.05307115231
stderr.of.mean	0.0618440081266124	0.0340623433726107	0.0536437040164722	0.0231810017371078	0.179719536102044	0.000912376591912382	0.000952890440435861	0.0154749841019969	0.0340623433726107
stdev	6.80774410603187	5.03388053435415	4.73441603663974	1.75676015631717	33.6461332180955	0.0799001898390117	0.109542038956251	2.2829934806957	5.03388053435415
variance	46.3453798132117	25.3399532341496	22.4146952079915	3.08620624682352	1132.06228052983	0.00638404033631011	0.0119994582986929	5.21205923289905	25.3399532341496
median	-5333.49633648349	-5233.66064095444	-99.877719136535	9.41620158245578	133.01460075405	1.23160887649903	2.05529240550675	60.2662223424653	-5233.66064095444
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	9.46619186684719	133.302064866011	1.22890259992571	2.05664905597161	60.2448307794881	NaN
HPD95.lower	-5371.95205385001	-5260.91946449135	-118.03786382113	4.61362780794927	54.3757233507345	0.898696198812543	1.68797925883052	50.4140910117503	-5260.91946449135
HPD95.upper	-5323.42327845449	-5226.53338828018	-91.9396856234258	12.7981367714018	198.416632239946	1.36321992801018	2.2471941955901	64.0977016582867	-5226.53338828018
ACT	3713.65303210539	2060.41996657547	5777.19718522843	7835.23391609291	1283.90464803316	5867.66296174233	3405.15443106339	2067.58605307559	2060.41996657547
ESS	12117.7179480571	21840.693028613	7789.41735190586	5743.41499971963	35050.1106674379	7669.32257244671	13215.5533356961	21764.9949481231	21840.693028613
n.samples	45001	45001	45001	45001	45001	45001	45001	45001	45001
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
