trace	posterior	likelihood	prior	b	nCarryingCapacity	t50	tree.height	tree.treeLength	treeLikelihood
mean	-5752.82629200861	-5625.45168742192	-127.374604586689	4.87394679982035	105.384455849358	1.3498374454841	2.79787171856811	66.3790462144243	-5625.45168742192
stderr.of.mean	0.0375126657168088	0.0316897763573973	0.0341325967112321	0.0103704184553616	0.129501725159369	0.00111163814600583	0.00146303286671964	0.013506874079916	0.0316897763573973
stdev	5.77444284867588	4.93486774914648	3.35029483758081	0.89666017361983	24.3022090943479	0.115785947503086	0.167952071755743	2.4966263138845	4.93486774914648
variance	33.3441902126241	24.3529197015661	11.2244754987206	0.803999466955944	590.597366865406	0.0134063856391875	0.0282078984070461	6.23314295118051	24.3529197015661
median	-5752.42373660101	-5625.09068973364	-127.385192258601	4.76483954912587	102.370646340833	1.347919468604	2.78946261939919	66.3492686875173	-5625.09068973364
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	4.79561758933787	102.726974855173	1.34485717103384	2.79286738014456	66.3321029578262	NaN
HPD95.lower	-5784.87502544393	-5655.98358991472	-141.995191979798	2.55512013803599	43.8643724907458	0.904482798781751	2.25486197036511	57.0928172562627	-5655.98358991472
HPD95.upper	-5744.02073429706	-5618.0182815929	-121.844869835466	6.50588837457259	149.160304948679	1.54280764780004	3.0868017912246	70.5519678628195	-5618.0182815929
ACT	1899.1015699611	1855.66606315221	4670.73379966917	6019.34609260624	1277.82716082729	4147.89437016354	3414.67950472903	1317.08901812894	1855.66606315221
ESS	23695.9416556755	24250.5916843449	9634.67453512067	7476.06123782718	35216.8128676068	10849.1190912911	13178.6892262297	34167.0148187315	24250.5916843449
n.samples	45001	45001	45001	45001	45001	45001	45001	45001	45001
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
