trace	posterior	likelihood	prior	b	nCarryingCapacity	t50	tree.height	tree.treeLength	treeLikelihood
mean	-5219.81364270582	-5112.84823859827	-106.965404107554	8.59841911267348	115.842812213734	1.2645919979772	2.17351973580937	58.2778434350421	-5112.84823859827
stderr.of.mean	0.0531363958211086	0.0259757384018817	0.052460545008604	0.020586991708185	0.14722826029097	0.000874177501810106	0.0011178699530547	0.014213867738777	0.0259757384018817
stdev	6.4553886607225	4.74278985406603	4.66638326601143	1.59388084537458	28.1692592742966	0.0826102811737328	0.119876302993546	2.27193230648677	4.74278985406603
variance	41.6720427609847	22.4940555998317	21.7751327853115	2.54045614925197	793.507168062543	0.00682445855560319	0.0143703280194005	5.1616764052583	22.4940555998317
median	-5219.4314348403	-5112.47537134165	-107.015580273746	8.4331646746073	112.234450046211	1.26443189915364	2.16806399949864	58.2522062443047	-5112.47537134165
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	8.4559595238196	112.610047387293	1.26187870384261	2.17023342494287	58.2335749899481	NaN
HPD95.lower	-5256.62113204302	-5144.96898057288	-125.297540917433	4.41311122329199	43.3531555806341	0.945979771560606	1.73049625473616	50.2966750850812	-5144.96898057288
HPD95.upper	-5209.81926228496	-5105.75672230266	-99.2543840058434	11.4695675266768	166.981201045368	1.40062523556183	2.37814658232599	62.0737714376939	-5105.75672230266
ACT	3048.96128813731	1349.83459068926	5687.44615139023	7507.34872470715	1229.26076417646	5038.99077311808	3913.16714091193	1761.35249597276	1349.83459068926
ESS	14759.4527274212	33338.158845834	7912.33864939539	5994.25997781333	36608.1805516248	8930.55812685162	11499.8921281734	25549.1164334751	33338.158845834
n.samples	45001	45001	45001	45001	45001	45001	45001	45001	45001
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
