trace	posterior	likelihood	prior	b	nCarryingCapacity	t50	tree.height	tree.treeLength	treeLikelihood
mean	-5418.71046863231	-5345.67169576261	-73.0387728696972	18.4607199474982	179.714037385154	1.38495168386549	1.86171044708717	62.596261104993	-5345.67169576261
stderr.of.mean	0.152781161222176	0.0817920950049802	0.123171437308061	0.101184934364687	0.255096264413102	0.00173202843971753	0.00125383799315996	0.0338799622870033	0.0817920950049802
stdev	9.25579790431644	6.04197832088004	6.78343930056075	4.61035768841481	45.5600815374914	0.0754970159045158	0.0879548343988722	2.3392811724998	6.04197832088004
variance	85.6697948455485	36.5055020299844	46.0150487443922	21.2553980151255	2075.72102970286	0.00569979941048671	0.00773605289413303	5.47223640401206	36.5055020299844
median	-5418.27468072003	-5345.10635522397	-73.1285984622157	17.8329917368678	173.776641307778	1.38575233035003	1.85754040430561	62.5590969786436	-5345.10635522397
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	17.9188579684157	174.283758982969	1.38288074662728	1.85964512738522	62.552600638186	NaN
HPD95.lower	-5463.77077691128	-5375.87102333655	-102.119981403898	6.99397952134218	64.1691993512558	1.08023507847755	1.55416051930406	53.800832687431	-5375.87102333655
HPD95.upper	-5404.22756949173	-5336.72703720969	-61.823199564208	26.8605321623087	263.159418220087	1.50626172384691	2.0120798766301	66.5139317775022	-5336.72703720969
ACT	12260.9578612024	8246.63651640049	14836.5404769908	21675.7922788364	1410.75541555864	23684.4322809901	9144.83626499363	9439.16329020729	8246.63651640049
ESS	3670.2678950066	5456.89141391212	3033.11948427531	2076.0948167942	31898.5130262145	1900.0244323407	4920.91916093277	4767.47764780026	5456.89141391212
n.samples	45001	45001	45001	45001	45001	45001	45001	45001	45001
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
