trace	posterior	likelihood	prior	b	nCarryingCapacity	t50	tree.height	tree.treeLength	treeLikelihood
mean	-6411.09126402067	-6309.2728386985	-101.818425322177	6.80741063153573	208.983454661985	1.39554335740189	2.58413600209823	79.1610394352964	-6309.2728386985
stderr.of.mean	0.0531164109331015	0.0289592000739711	0.0521903326430718	0.0154537806179564	0.295456654142108	0.00115190386377188	0.001160664270691	0.0159780695958144	0.0289592000739711
stdev	6.34798232558927	4.90887977443013	4.6795854698929	1.15088927221003	51.690697244195	0.0988914654033416	0.130484533190141	2.70810312036599	4.90887977443013
variance	40.2968796059938	24.0971006398092	21.8985201700328	1.32454611688813	2671.92818159102	0.0097795219296203	0.0170262134018489	7.33382251053602	24.0971006398092
median	-6410.73381024566	-6308.88301404625	-101.853074661529	6.67737243800837	202.468924526683	1.39491794167019	2.57886745858572	79.1053329274589	-6308.88301404625
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	6.71417652418881	202.926385424892	1.39202079755145	2.58085858648275	79.1147426964947	NaN
HPD95.lower	-6441.84839742922	-6336.23643391521	-121.951415354365	3.76498304490389	71.0951650730713	1.0124111042572	2.14606705427258	68.1584302643225	-6336.23643391521
HPD95.upper	-6401.27671900611	-6301.89865811963	-94.026963335948	8.91595968807772	303.276114524995	1.55792122668226	2.80845047640863	83.7267847876328	-6301.89865811963
ACT	3150.63824165317	1566.10488734944	5597.29086488489	8113.62469764215	1470.19615893239	6105.58608201806	3560.4727989678	1566.50121245954	1566.10488734944
ESS	14283.1377481115	28734.3461881165	8039.78229580989	5546.34971137838	30608.840681966	7370.4636042288	12639.0517610599	28727.0763929667	28734.3461881165
n.samples	45001	45001	45001	45001	45001	45001	45001	45001	45001
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
