trace	posterior	likelihood	prior	b	nCarryingCapacity	t50	tree.height	tree.treeLength	treeLikelihood
mean	-5851.41095532701	-5759.30853096551	-92.1024243615069	10.1260027207655	182.366208932402	1.37432764442748	2.17985143178799	69.1381944136712	-5759.30853096551
stderr.of.mean	0.0813195254015261	0.0567536253375203	0.0587041335360892	0.0301956322398769	0.25824317284523	0.00125153043695838	0.00104485386066214	0.0192683676488295	0.0567536253375203
stdev	7.301190973704	5.38234724610336	5.11166796279396	1.94253538565273	45.4360527708948	0.086063326955539	0.109517129375444	2.48581567858047	5.38234724610336
variance	53.3073896344967	28.9696618776365	26.1291493618542	3.77344372451299	2064.43489139954	0.00740689624665601	0.0119940016266377	6.17927958787649	28.9696618776365
median	-5851.01678865157	-5758.84447823126	-92.1840569677362	9.89310295683918	176.684637444392	1.3741900898237	2.17499779798963	69.1079067148416	-5758.84447823126
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	9.94791825596641	177.010839544846	1.37161881143427	2.1771153820238	69.093511104647	NaN
HPD95.lower	-5887.1748932274	-5789.82726966187	-113.362252040766	4.84357221933463	64.4292207066847	0.960452296675058	1.78657773067672	59.8598004543137	-5789.82726966187
HPD95.upper	-5840.08938355853	-5751.38067605309	-83.5228345510105	13.6558284110781	265.499647146768	1.51611156694028	2.36781447651847	73.2741042947868	-5751.38067605309
ACT	5582.3205077613	5003.29724397431	5935.05307102918	10873.3380597848	1453.68068785944	9516.10191050126	4095.99590373221	2703.73744826159	5003.29724397431
ESS	8061.34293748156	8994.26874031853	7582.24053962782	4138.65546647875	30956.5920327829	4728.93212191646	10986.5832529265	16643.9977479818	8994.26874031853
n.samples	45001	45001	45001	45001	45001	45001	45001	45001	45001
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
