trace	posterior	likelihood	prior	b	nCarryingCapacity	t50	tree.height	tree.treeLength	treeLikelihood
mean	-5791.00207553985	-5668.47448697068	-122.527588569172	5.48612957593146	117.538901030713	1.35617956899899	2.64085640435122	67.2537583899421	-5668.47448697068
stderr.of.mean	0.0425331633684515	0.0386375553753382	0.0251607797132151	0.0113773642701443	0.152194006910553	0.00115015941229437	0.0014453732244192	0.0134491546572912	0.0386375553753382
stdev	5.53393136295885	4.64438682019758	3.29006100730452	1.01867428686791	27.9308319511914	0.114922803554754	0.157272905373168	2.4883734271701	4.64438682019758
variance	30.6243963299396	21.570328935625	10.8245014317856	1.03769730272584	780.131373485695	0.0132072507768846	0.0247347667645173	6.19200231304628	21.570328935625
median	-5790.61191135884	-5668.09208496458	-122.536967158211	5.35134809409704	113.963824977854	1.35338404330651	2.63222289324688	67.221811675359	-5668.09208496458
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	5.39786177325108	114.391532284313	1.35130782737644	2.63620842067582	67.2077228225531	NaN
HPD95.lower	-5822.49992772712	-5695.88956459225	-137.727239084734	2.78990267403493	47.802376722502	0.929748607594719	2.07390814161564	57.0429405802397	-5695.88956459225
HPD95.upper	-5782.68218405291	-5661.61884372636	-117.06577468895	7.33069897969397	168.849871337602	1.54799026875055	2.91201814801043	71.4048452713599	-5661.61884372636
ACT	2658.27768353242	3114.40456052014	2631.79951293098	5613.38916456877	1336.10279395	4507.29688504213	3800.70974400665	1314.53265507328	3114.40456052014
ESS	16928.6302476124	14449.310975991	17098.9468532439	8016.72548984176	33680.79178022	9984.03281340083	11840.156978828	34233.459188955	14449.310975991
n.samples	45001	45001	45001	45001	45001	45001	45001	45001	45001
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
