trace	posterior	likelihood	prior	b	nCarryingCapacity	t50	tree.height	tree.treeLength	treeLikelihood
mean	-5290.604758985	-5175.00543296402	-115.599326020981	7.00928508763449	106.253226344924	1.26663451510141	2.30031350854262	59.2860709232006	-5175.00543296402
stderr.of.mean	0.0432513270538769	0.0275830416839293	0.037464424783083	0.0142891128229964	0.135480684759391	0.000892197191659205	0.00103327265780722	0.0133276637718082	0.0275830416839293
stdev	6.0073631397583	4.82192294830601	3.86673410617285	1.25725371112814	25.5024591971508	0.0930538525755464	0.128918391144596	2.30534550598177	4.82192294830601
variance	36.0884118929267	23.2509409194001	14.9516326478404	1.58068689414549	650.37542510234	0.00865901947915152	0.0166199515753109	5.31461790195035	23.2509409194001
median	-5290.21994658875	-5174.65046677286	-115.632244577721	6.86747767819757	102.979823364915	1.26563139317806	2.29473165451727	59.2495357452732	-5174.65046677286
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	6.90079359561112	103.350163409163	1.26320647217143	2.29672392282616	59.2412780274775	NaN
HPD95.lower	-5323.41522516859	-5203.53894004209	-130.871049490055	3.62595082665896	32.6717294002448	0.877353498019125	1.84166470288576	50.2237945192095	-5203.53894004209
HPD95.upper	-5281.4359048087	-5167.69692613535	-109.185479402384	9.28630599814444	152.8444838139	1.42083405324794	2.52102639693407	63.141397106555	-5167.69692613535
ACT	2332.61797012998	1472.50335313132	4224.37081295334	5812.69039843849	1269.99835040115	4136.80929633693	2890.76397727803	1504.00237912984	1472.50335313132
ESS	19292.0574977361	30560.8811717162	10652.7106621445	7741.85392913564	35433.904292699	10878.1905996604	15567.1650656078	29920.8303287632	30560.8811717162
n.samples	45001	45001	45001	45001	45001	45001	45001	45001	45001
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
